dataset,split,sequence,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,dataset_item_relative,anchor_mib,gaussians_per_anchor
DAVIS,train,bear,16,80,81,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bear/gap16/pair_000080_000081.pt,DAVIS/train/bear/gap16/pair_000080_000081.pt,1.828125,36864
DAVIS,train,bear,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bear/gap16/pair_000000_000016.pt,DAVIS/train/bear/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,bear,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bear/gap16/pair_000016_000032.pt,DAVIS/train/bear/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,bear,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bear/gap16/pair_000032_000048.pt,DAVIS/train/bear/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,bear,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bear/gap16/pair_000048_000064.pt,DAVIS/train/bear/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,bear,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bear/gap16/pair_000064_000080.pt,DAVIS/train/bear/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,bmx-bumps,16,80,89,9,8,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bmx-bumps/gap16/pair_000080_000089.pt,DAVIS/train/bmx-bumps/gap16/pair_000080_000089.pt,1.828125,36864
DAVIS,train,bmx-bumps,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bmx-bumps/gap16/pair_000000_000016.pt,DAVIS/train/bmx-bumps/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,bmx-bumps,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bmx-bumps/gap16/pair_000016_000032.pt,DAVIS/train/bmx-bumps/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,bmx-bumps,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bmx-bumps/gap16/pair_000032_000048.pt,DAVIS/train/bmx-bumps/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,bmx-bumps,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bmx-bumps/gap16/pair_000048_000064.pt,DAVIS/train/bmx-bumps/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,bmx-bumps,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bmx-bumps/gap16/pair_000064_000080.pt,DAVIS/train/bmx-bumps/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,boat,16,64,74,10,9,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boat/gap16/pair_000064_000074.pt,DAVIS/train/boat/gap16/pair_000064_000074.pt,1.828125,36864
DAVIS,train,boat,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boat/gap16/pair_000000_000016.pt,DAVIS/train/boat/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,boat,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boat/gap16/pair_000016_000032.pt,DAVIS/train/boat/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,boat,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boat/gap16/pair_000032_000048.pt,DAVIS/train/boat/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,boat,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boat/gap16/pair_000048_000064.pt,DAVIS/train/boat/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,boxing-fisheye,16,80,86,6,5,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boxing-fisheye/gap16/pair_000080_000086.pt,DAVIS/train/boxing-fisheye/gap16/pair_000080_000086.pt,1.828125,36864
DAVIS,train,boxing-fisheye,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boxing-fisheye/gap16/pair_000000_000016.pt,DAVIS/train/boxing-fisheye/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,boxing-fisheye,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boxing-fisheye/gap16/pair_000016_000032.pt,DAVIS/train/boxing-fisheye/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,boxing-fisheye,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boxing-fisheye/gap16/pair_000032_000048.pt,DAVIS/train/boxing-fisheye/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,boxing-fisheye,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boxing-fisheye/gap16/pair_000048_000064.pt,DAVIS/train/boxing-fisheye/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,boxing-fisheye,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/boxing-fisheye/gap16/pair_000064_000080.pt,DAVIS/train/boxing-fisheye/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,breakdance-flare,16,64,70,6,5,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/breakdance-flare/gap16/pair_000064_000070.pt,DAVIS/train/breakdance-flare/gap16/pair_000064_000070.pt,1.828125,36864
DAVIS,train,breakdance-flare,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/breakdance-flare/gap16/pair_000000_000016.pt,DAVIS/train/breakdance-flare/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,breakdance-flare,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/breakdance-flare/gap16/pair_000016_000032.pt,DAVIS/train/breakdance-flare/gap16/pair_000016_000032.pt,1.828125,36864
