dataset,split,sequence,frame_gap,total_frames,exported_pair_count,total_middle_frames,total_anchor_mib,avg_anchor_mib_per_pair,heavy_root
DAVIS,train,bear,16,82,6,75,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,bmx-bumps,16,90,6,83,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,boat,16,75,5,69,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,boxing-fisheye,16,87,6,80,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,breakdance-flare,16,71,5,65,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,bus,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,car-turn,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,cat-girl,16,89,6,82,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,classic-car,16,63,4,58,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,color-run,16,84,6,77,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,crossing,16,52,4,47,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,dance-jump,16,60,4,55,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,dancing,16,62,4,57,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,disc-jockey,16,76,5,70,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,dog-agility,16,25,2,22,3.65625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,dog-gooses,16,86,6,79,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,dogs-scale,16,83,6,76,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,drift-turn,16,64,4,59,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,drone,16,91,6,84,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,elephant,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,flamingo,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,hike,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,hockey,16,75,5,69,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,horsejump-low,16,60,4,55,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,kid-football,16,68,5,62,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,kite-walk,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,koala,16,100,7,92,12.796875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,lady-running,16,65,4,60,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,lindy-hop,16,73,5,67,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,longboard,16,52,4,47,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,lucia,16,70,5,64,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,mallard-fly,16,70,5,64,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,mallard-water,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,miami-surf,16,70,5,64,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,motocross-bumps,16,60,4,55,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,motorbike,16,43,3,39,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,night-race,16,46,3,42,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,paragliding,16,70,5,64,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,planes-water,16,38,3,34,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,rallye,16,50,4,45,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,rhino,16,90,6,83,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,rollerblade,16,35,3,31,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,schoolgirls,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,scooter-board,16,91,6,84,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,scooter-gray,16,75,5,69,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,sheep,16,68,5,62,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,skate-park,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,snowboard,16,66,5,60,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,soccerball,16,48,3,44,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,stroller,16,91,6,84,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,stunt,16,71,5,65,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,surf,16,55,4,50,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,swing,16,60,4,55,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,tennis,16,70,5,64,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,tractor-sand,16,76,5,70,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,train,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,tuk-tuk,16,59,4,54,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,upside-down,16,65,4,60,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,varanus-cage,16,67,5,61,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,train,walking,16,72,5,66,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,bike-packing,16,69,5,63,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,blackswan,16,50,4,45,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,bmx-trees,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,breakdance,16,84,6,77,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,camel,16,90,6,83,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,car-roundabout,16,75,5,69,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
