dataset,split,sequence,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,dataset_item_relative,anchor_mib,gaussians_per_anchor
DAVIS,train,bear,1,0,1,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000000_000001.pt,DAVIS/train/bear/gap1/pair_000000_000001.pt,1.828125,36864
DAVIS,train,bear,1,1,2,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000001_000002.pt,DAVIS/train/bear/gap1/pair_000001_000002.pt,1.828125,36864
DAVIS,train,bear,1,2,3,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000002_000003.pt,DAVIS/train/bear/gap1/pair_000002_000003.pt,1.828125,36864
DAVIS,train,bear,1,3,4,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,DAVIS/train/bear/gap1/pair_000003_000004.pt,1.828125,36864
DAVIS,train,bear,1,4,5,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000004_000005.pt,DAVIS/train/bear/gap1/pair_000004_000005.pt,1.828125,36864
DAVIS,train,bear,1,5,6,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000005_000006.pt,DAVIS/train/bear/gap1/pair_000005_000006.pt,1.828125,36864
DAVIS,train,bear,1,6,7,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000006_000007.pt,DAVIS/train/bear/gap1/pair_000006_000007.pt,1.828125,36864
DAVIS,train,bear,1,7,8,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,DAVIS/train/bear/gap1/pair_000007_000008.pt,1.828125,36864
DAVIS,train,bear,1,8,9,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000008_000009.pt,DAVIS/train/bear/gap1/pair_000008_000009.pt,1.828125,36864
DAVIS,train,bear,1,9,10,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000009_000010.pt,DAVIS/train/bear/gap1/pair_000009_000010.pt,1.828125,36864
DAVIS,train,bear,1,10,11,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000010_000011.pt,DAVIS/train/bear/gap1/pair_000010_000011.pt,1.828125,36864
DAVIS,train,bear,1,11,12,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,DAVIS/train/bear/gap1/pair_000011_000012.pt,1.828125,36864
DAVIS,train,bear,1,12,13,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000012_000013.pt,DAVIS/train/bear/gap1/pair_000012_000013.pt,1.828125,36864
DAVIS,train,bear,1,13,14,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000013_000014.pt,DAVIS/train/bear/gap1/pair_000013_000014.pt,1.828125,36864
DAVIS,train,bear,1,14,15,1,0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000014_000015.pt,DAVIS/train/bear/gap1/pair_000014_000015.pt,1.828125,36864
