dataset,split,sequence,frame_gap,total_frames,exported_pair_count,total_middle_frames,total_anchor_mib,avg_anchor_mib_per_pair,heavy_root
DAVIS,train,bear,1,82,81,0,148.078125,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,bmx-bumps,1,90,89,0,162.703125,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,boat,1,75,74,0,135.28125,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,boxing-fisheye,1,87,86,0,157.21875,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,breakdance-flare,1,71,70,0,127.96875,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,bus,1,80,79,0,144.421875,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,car-turn,1,80,79,0,144.421875,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,cat-girl,1,89,88,0,160.875,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,classic-car,1,63,62,0,113.34375,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,color-run,1,84,83,0,151.734375,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,crossing,1,52,51,0,93.234375,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,dance-jump,1,60,59,0,107.859375,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,dancing,1,62,61,0,111.515625,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,disc-jockey,1,76,75,0,137.109375,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
DAVIS,train,dog-agility,1,25,24,0,43.875,1.828125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full
