dataset,split,sequence,gap,frame_count,pair_count,unique_anchor_count,estimated_pair_pt_mib,estimated_dedup_static_anchor_mib,ready_for_anchor_export
DAVIS,train,bear,1,82,81,82,148.078125,74.953125,true
DAVIS,train,bear,2,82,41,42,74.953125,38.390625,true
DAVIS,train,bear,4,82,21,22,38.390625,20.109375,true
DAVIS,train,bear,8,82,11,12,20.109375,10.96875,true
DAVIS,train,bear,16,82,6,7,10.96875,6.3984375,true
DAVIS,train,bmx-bumps,1,90,89,90,162.703125,82.265625,true
DAVIS,train,bmx-bumps,2,90,45,46,82.265625,42.046875,true
DAVIS,train,bmx-bumps,4,90,23,24,42.046875,21.9375,true
DAVIS,train,bmx-bumps,8,90,12,13,21.9375,11.8828125,true
DAVIS,train,bmx-bumps,16,90,6,7,10.96875,6.3984375,true
DAVIS,train,boat,1,75,74,75,135.28125,68.5546875,true
DAVIS,train,boat,2,75,37,38,67.640625,34.734375,true
DAVIS,train,boat,4,75,19,20,34.734375,18.28125,true
DAVIS,train,boat,8,75,10,11,18.28125,10.0546875,true
DAVIS,train,boat,16,75,5,6,9.140625,5.484375,true
DAVIS,train,boxing-fisheye,1,87,86,87,157.21875,79.5234375,true
DAVIS,train,boxing-fisheye,2,87,43,44,78.609375,40.21875,true
DAVIS,train,boxing-fisheye,4,87,22,23,40.21875,21.0234375,true
DAVIS,train,boxing-fisheye,8,87,11,12,20.109375,10.96875,true
DAVIS,train,boxing-fisheye,16,87,6,7,10.96875,6.3984375,true
DAVIS,train,breakdance-flare,1,71,70,71,127.96875,64.8984375,true
DAVIS,train,breakdance-flare,2,71,35,36,63.984375,32.90625,true
DAVIS,train,breakdance-flare,4,71,18,19,32.90625,17.3671875,true
DAVIS,train,breakdance-flare,8,71,9,10,16.453125,9.140625,true
DAVIS,train,breakdance-flare,16,71,5,6,9.140625,5.484375,true
DAVIS,train,bus,1,80,79,80,144.421875,73.125,true
DAVIS,train,bus,2,80,40,41,73.125,37.4765625,true
DAVIS,train,bus,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,bus,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,bus,16,80,5,6,9.140625,5.484375,true
DAVIS,train,car-turn,1,80,79,80,144.421875,73.125,true
DAVIS,train,car-turn,2,80,40,41,73.125,37.4765625,true
DAVIS,train,car-turn,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,car-turn,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,car-turn,16,80,5,6,9.140625,5.484375,true
DAVIS,train,cat-girl,1,89,88,89,160.875,81.3515625,true
DAVIS,train,cat-girl,2,89,44,45,80.4375,41.1328125,true
DAVIS,train,cat-girl,4,89,22,23,40.21875,21.0234375,true
DAVIS,train,cat-girl,8,89,11,12,20.109375,10.96875,true
DAVIS,train,cat-girl,16,89,6,7,10.96875,6.3984375,true
DAVIS,train,classic-car,1,63,62,63,113.34375,57.5859375,true
DAVIS,train,classic-car,2,63,31,32,56.671875,29.25,true
DAVIS,train,classic-car,4,63,16,17,29.25,15.5390625,true
DAVIS,train,classic-car,8,63,8,9,14.625,8.2265625,true
DAVIS,train,classic-car,16,63,4,5,7.3125,4.5703125,true
DAVIS,train,color-run,1,84,83,84,151.734375,76.78125,true
DAVIS,train,color-run,2,84,42,43,76.78125,39.3046875,true
DAVIS,train,color-run,4,84,21,22,38.390625,20.109375,true
DAVIS,train,color-run,8,84,11,12,20.109375,10.96875,true
DAVIS,train,color-run,16,84,6,7,10.96875,6.3984375,true
DAVIS,train,crossing,1,52,51,52,93.234375,47.53125,true
DAVIS,train,crossing,2,52,26,27,47.53125,24.6796875,true
DAVIS,train,crossing,4,52,13,14,23.765625,12.796875,true
DAVIS,train,crossing,8,52,7,8,12.796875,7.3125,true
DAVIS,train,crossing,16,52,4,5,7.3125,4.5703125,true
DAVIS,train,dance-jump,1,60,59,60,107.859375,54.84375,true
DAVIS,train,dance-jump,2,60,30,31,54.84375,28.3359375,true
DAVIS,train,dance-jump,4,60,15,16,27.421875,14.625,true
DAVIS,train,dance-jump,8,60,8,9,14.625,8.2265625,true
DAVIS,train,dance-jump,16,60,4,5,7.3125,4.5703125,true
DAVIS,train,dancing,1,62,61,62,111.515625,56.671875,true
DAVIS,train,dancing,2,62,31,32,56.671875,29.25,true
DAVIS,train,dancing,4,62,16,17,29.25,15.5390625,true
DAVIS,train,dancing,8,62,8,9,14.625,8.2265625,true
DAVIS,train,dancing,16,62,4,5,7.3125,4.5703125,true
DAVIS,train,disc-jockey,1,76,75,76,137.109375,69.46875,true
DAVIS,train,disc-jockey,2,76,38,39,69.46875,35.6484375,true
DAVIS,train,disc-jockey,4,76,19,20,34.734375,18.28125,true
DAVIS,train,disc-jockey,8,76,10,11,18.28125,10.0546875,true
DAVIS,train,disc-jockey,16,76,5,6,9.140625,5.484375,true
DAVIS,train,dog-agility,1,25,24,25,43.875,22.8515625,true
DAVIS,train,dog-agility,2,25,12,13,21.9375,11.8828125,true
DAVIS,train,dog-agility,4,25,6,7,10.96875,6.3984375,true
DAVIS,train,dog-agility,8,25,3,4,5.484375,3.65625,true
DAVIS,train,dog-agility,16,25,2,3,3.65625,2.7421875,true
DAVIS,train,dog-gooses,1,86,85,86,155.390625,78.609375,true
DAVIS,train,dog-gooses,2,86,43,44,78.609375,40.21875,true
DAVIS,train,dog-gooses,4,86,22,23,40.21875,21.0234375,true
DAVIS,train,dog-gooses,8,86,11,12,20.109375,10.96875,true
DAVIS,train,dog-gooses,16,86,6,7,10.96875,6.3984375,true
DAVIS,train,dogs-scale,1,83,82,83,149.90625,75.8671875,true
DAVIS,train,dogs-scale,2,83,41,42,74.953125,38.390625,true
DAVIS,train,dogs-scale,4,83,21,22,38.390625,20.109375,true
DAVIS,train,dogs-scale,8,83,11,12,20.109375,10.96875,true
DAVIS,train,dogs-scale,16,83,6,7,10.96875,6.3984375,true
DAVIS,train,drift-turn,1,64,63,64,115.171875,58.5,true
DAVIS,train,drift-turn,2,64,32,33,58.5,30.1640625,true
DAVIS,train,drift-turn,4,64,16,17,29.25,15.5390625,true
DAVIS,train,drift-turn,8,64,8,9,14.625,8.2265625,true
DAVIS,train,drift-turn,16,64,4,5,7.3125,4.5703125,true
DAVIS,train,drone,1,91,90,91,164.53125,83.1796875,true
DAVIS,train,drone,2,91,45,46,82.265625,42.046875,true
DAVIS,train,drone,4,91,23,24,42.046875,21.9375,true
DAVIS,train,drone,8,91,12,13,21.9375,11.8828125,true
