dataset,split,sequence,frame_count,depth_count,mask_count,ready_for_anchor_export,image_dir,depth_dir,mask_dir
DAVIS,train,bear,82,82,82,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/bear,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/bear
DAVIS,train,bmx-bumps,90,90,90,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bmx-bumps,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/bmx-bumps,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/bmx-bumps
DAVIS,train,boat,75,75,75,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/boat,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/boat,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/boat
DAVIS,train,boxing-fisheye,87,87,87,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/boxing-fisheye,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/boxing-fisheye,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/boxing-fisheye
DAVIS,train,breakdance-flare,71,71,71,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/breakdance-flare,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/breakdance-flare,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/breakdance-flare
DAVIS,train,bus,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bus,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/bus,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/bus
DAVIS,train,car-turn,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/car-turn,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/car-turn,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/car-turn
DAVIS,train,cat-girl,89,89,89,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/cat-girl,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/cat-girl,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/cat-girl
DAVIS,train,classic-car,63,63,63,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/classic-car,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/classic-car,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/classic-car
DAVIS,train,color-run,84,84,84,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/color-run,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/color-run,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/color-run
DAVIS,train,crossing,52,52,52,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/crossing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/crossing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/crossing
DAVIS,train,dance-jump,60,60,60,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dance-jump,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dance-jump,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dance-jump
DAVIS,train,dancing,62,62,62,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dancing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dancing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dancing
DAVIS,train,disc-jockey,76,76,76,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/disc-jockey,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/disc-jockey,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/disc-jockey
DAVIS,train,dog-agility,25,25,25,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dog-agility,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dog-agility,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dog-agility
DAVIS,train,dog-gooses,86,86,86,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dog-gooses,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dog-gooses,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dog-gooses
DAVIS,train,dogs-scale,83,83,83,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dogs-scale,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dogs-scale,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dogs-scale
DAVIS,train,drift-turn,64,64,64,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/drift-turn,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/drift-turn,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/drift-turn
DAVIS,train,drone,91,91,91,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/drone,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/drone,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/drone
DAVIS,train,elephant,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/elephant,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/elephant,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/elephant
DAVIS,train,flamingo,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/flamingo,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/flamingo,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/flamingo
DAVIS,train,hike,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/hike,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/hike,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/hike
DAVIS,train,hockey,75,75,75,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/hockey,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/hockey,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/hockey
DAVIS,train,horsejump-low,60,60,60,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/horsejump-low,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/horsejump-low,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/horsejump-low
DAVIS,train,kid-football,68,68,68,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/kid-football,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/kid-football,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/kid-football
DAVIS,train,kite-walk,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/kite-walk,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/kite-walk,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/kite-walk
DAVIS,train,koala,100,100,100,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/koala,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/koala,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/koala
DAVIS,train,lady-running,65,65,65,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/lady-running,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/lady-running,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/lady-running
DAVIS,train,lindy-hop,73,73,73,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/lindy-hop,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/lindy-hop,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/lindy-hop
DAVIS,train,longboard,52,52,52,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/longboard,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/longboard,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/longboard
