scope,gap,sequence_count,frame_count,pair_count,unique_anchor_count,estimated_pair_pt_mib,estimated_dedup_static_anchor_mib
all,1,90,6208,6118,6208,11184.46875,5674.5
all,2,90,6208,3089,3179,5647.078125,2905.8046875
all,4,90,6208,1568,1658,2866.5,1515.515625
all,8,90,6208,807,897,1475.296875,819.9140625
all,16,90,6208,425,515,776.953125,470.7421875
train,1,60,4209,4149,4209,7584.890625,3847.2890625
train,2,60,4209,2094,2154,3828.09375,1968.890625
train,4,60,4209,1062,1122,1941.46875,1025.578125
train,8,60,4209,545,605,996.328125,553.0078125
train,16,60,4209,286,346,522.84375,316.265625
val,1,30,1999,1969,1999,3599.578125,1827.2109375
val,2,30,1999,995,1025,1818.984375,936.9140625
val,4,30,1999,506,536,925.03125,489.9375
val,8,30,1999,262,292,478.96875,266.90625
val,16,30,1999,139,169,254.109375,154.4765625
all_gaps_total,all,90,6208,12007,12457,21950.296875,11386.4765625
