dataset,split,sequence,frame_count,depth_count,mask_count,ready_for_anchor_export,image_dir,depth_dir,mask_dir
DAVIS,train,bear,82,82,82,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/bear,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/bear,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/bear
DAVIS,train,bmx-bumps,90,90,90,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/bmx-bumps,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/bmx-bumps,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/bmx-bumps
DAVIS,train,boat,75,75,75,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/boat,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/boat,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/boat
DAVIS,train,boxing-fisheye,87,87,87,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/boxing-fisheye,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/boxing-fisheye,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/boxing-fisheye
DAVIS,train,breakdance-flare,71,71,71,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/breakdance-flare,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/breakdance-flare,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/breakdance-flare
DAVIS,train,bus,80,80,80,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/bus,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/bus,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/bus
DAVIS,train,car-turn,80,80,80,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/car-turn,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/car-turn,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/car-turn
DAVIS,train,cat-girl,89,89,89,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/cat-girl,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/cat-girl,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/cat-girl
DAVIS,train,classic-car,63,63,63,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/classic-car,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/classic-car,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/classic-car
DAVIS,train,color-run,84,84,84,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/color-run,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/color-run,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/color-run
DAVIS,train,crossing,52,52,52,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/crossing,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/crossing,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/crossing
DAVIS,train,dance-jump,60,60,60,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/dance-jump,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/dance-jump,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/dance-jump
DAVIS,train,dancing,62,62,62,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/dancing,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/dancing,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/dancing
DAVIS,train,disc-jockey,76,76,76,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/disc-jockey,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/disc-jockey,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/disc-jockey
DAVIS,train,dog-agility,25,25,25,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/dog-agility,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/dog-agility,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/dog-agility
DAVIS,train,dog-gooses,86,86,86,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/dog-gooses,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/dog-gooses,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/dog-gooses
DAVIS,train,dogs-scale,83,83,83,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/dogs-scale,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/dogs-scale,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/dogs-scale
DAVIS,train,drift-turn,64,64,64,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/drift-turn,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/drift-turn,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/drift-turn
DAVIS,train,drone,91,91,91,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/drone,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/drone,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/drone
DAVIS,train,elephant,80,80,80,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/elephant,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/elephant,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/elephant
DAVIS,train,flamingo,80,80,80,true,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/JPEGImages/Full-Resolution/flamingo,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/depthImages/Full-Resolution/flamingo,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS/Annotations_unsupervised/Full-Resolution/flamingo
