selection,sample,dataset,split,sequence,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,anchor_mib,gaussians_per_anchor
train,DAVIS/train/bear,DAVIS,train,bear,2,0,2,2,1,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap2/pair_000000_000002.pt,1.828125,36864
train,DAVIS/train/bmx-bumps,DAVIS,train,bmx-bumps,2,0,2,2,1,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap2/pair_000000_000002.pt,1.828125,36864
train,DAVIS/train/boat,DAVIS,train,boat,2,0,2,2,1,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap2/pair_000000_000002.pt,1.828125,36864
train,DAVIS/train/boxing-fisheye,DAVIS,train,boxing-fisheye,2,0,2,2,1,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boxing-fisheye/gap2/pair_000000_000002.pt,1.828125,36864
train,DAVIS/train/bear,DAVIS,train,bear,4,0,4,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap4/pair_000000_000004.pt,1.828125,36864
train,DAVIS/train/bmx-bumps,DAVIS,train,bmx-bumps,4,0,4,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap4/pair_000000_000004.pt,1.828125,36864
train,DAVIS/train/boat,DAVIS,train,boat,4,0,4,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap4/pair_000000_000004.pt,1.828125,36864
train,DAVIS/train/boxing-fisheye,DAVIS,train,boxing-fisheye,4,0,4,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boxing-fisheye/gap4/pair_000000_000004.pt,1.828125,36864
train,DAVIS/train/bear,DAVIS,train,bear,8,0,8,8,7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap8/pair_000000_000008.pt,1.828125,36864
train,DAVIS/train/bmx-bumps,DAVIS,train,bmx-bumps,8,0,8,8,7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap8/pair_000000_000008.pt,1.828125,36864
train,DAVIS/train/boat,DAVIS,train,boat,8,0,8,8,7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap8/pair_000000_000008.pt,1.828125,36864
train,DAVIS/train/boxing-fisheye,DAVIS,train,boxing-fisheye,8,0,8,8,7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boxing-fisheye/gap8/pair_000000_000008.pt,1.828125,36864
train,DAVIS/train/bear,DAVIS,train,bear,16,0,16,16,15,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap16/pair_000000_000016.pt,1.828125,36864
train,DAVIS/train/bmx-bumps,DAVIS,train,bmx-bumps,16,80,89,9,8,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap16/pair_000080_000089.pt,1.828125,36864
train,DAVIS/train/boat,DAVIS,train,boat,16,64,74,10,9,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap16/pair_000064_000074.pt,1.828125,36864
train,DAVIS/train/boxing-fisheye,DAVIS,train,boxing-fisheye,16,80,86,6,5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boxing-fisheye/gap16/pair_000080_000086.pt,1.828125,36864
eval,DAVIS/val/bike-packing,DAVIS,val,bike-packing,2,0,2,2,1,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/bike-packing/gap2/pair_000000_000002.pt,1.828125,36864
eval,DAVIS/val/blackswan,DAVIS,val,blackswan,2,0,2,2,1,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/blackswan/gap2/pair_000000_000002.pt,1.828125,36864
eval,DAVIS/val/bike-packing,DAVIS,val,bike-packing,4,0,4,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/bike-packing/gap4/pair_000000_000004.pt,1.828125,36864
eval,DAVIS/val/blackswan,DAVIS,val,blackswan,4,0,4,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/blackswan/gap4/pair_000000_000004.pt,1.828125,36864
eval,DAVIS/val/bike-packing,DAVIS,val,bike-packing,8,64,68,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/bike-packing/gap8/pair_000064_000068.pt,1.828125,36864
eval,DAVIS/val/blackswan,DAVIS,val,blackswan,8,0,8,8,7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/blackswan/gap8/pair_000000_000008.pt,1.828125,36864
eval,DAVIS/val/bike-packing,DAVIS,val,bike-packing,16,64,68,4,3,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/bike-packing/gap16/pair_000064_000068.pt,1.828125,36864
eval,DAVIS/val/blackswan,DAVIS,val,blackswan,16,0,16,16,15,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/val/blackswan/gap16/pair_000000_000016.pt,1.828125,36864
