step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,DAVIS/train/bear,16,8,0.5,0.021476855501532555,16.680293048301046
2,DAVIS/train/bmx-bumps,16,85,0.5555555555555556,0.04014860466122627,13.963295437466963
3,DAVIS/train/boxing-fisheye,16,83,0.5,0.0166378952562809,17.78901614126871
4,DAVIS/train/boat,8,4,0.5,0.004289227072149515,23.676209615550263
5,DAVIS/train/bear,4,2,0.5,0.01148570142686367,19.398424774811904
6,DAVIS/train/bear,2,1,0.5,0.006784074939787388,21.68509363322631
7,DAVIS/train/bear,8,4,0.5,0.016578109934926033,17.804649847400526
8,DAVIS/train/bmx-bumps,8,4,0.5,0.030430246144533157,15.166945347013085
9,DAVIS/train/boxing-fisheye,8,4,0.5,0.031892746686935425,14.963080765672787
10,DAVIS/train/boxing-fisheye,4,2,0.5,0.022291969507932663,16.518515596650765
11,DAVIS/train/bmx-bumps,2,1,0.5,0.012914322316646576,18.88928378639936
12,DAVIS/train/boat,2,1,0.5,0.0022960936184972525,26.390104084483337
13,DAVIS/train/boxing-fisheye,2,1,0.5,0.013981830328702927,18.54435972394048
14,DAVIS/train/boat,16,69,0.5,0.0043309470638632774,23.634171245159603
15,DAVIS/train/bmx-bumps,4,2,0.5,0.019638748839497566,17.068861840343338
16,DAVIS/train/boat,4,2,0.5,0.0031713310163468122,24.987584249328663
17,DAVIS/train/bear,4,2,0.5,0.011475046165287495,19.402455585759487
18,DAVIS/train/boat,2,1,0.5,0.0022937925532460213,26.394458615238303
19,DAVIS/train/bmx-bumps,8,4,0.5,0.030437028035521507,15.165977556723485
20,DAVIS/train/boxing-fisheye,4,2,0.5,0.02229064330458641,16.51877397665992
21,DAVIS/train/bear,2,1,0.5,0.006772675551474094,21.692397289971378
22,DAVIS/train/boat,8,4,0.5,0.004283353220671415,23.682161106458576
23,DAVIS/train/boat,4,2,0.5,0.0031689568422734737,24.990836753853106
24,DAVIS/train/boat,16,69,0.5,0.004327774979174137,23.637353282719893
25,DAVIS/train/bmx-bumps,2,1,0.5,0.012910277582705021,18.890644199070067
26,DAVIS/train/bmx-bumps,4,2,0.5,0.019637420773506165,17.069155540944784
27,DAVIS/train/bear,8,4,0.5,0.016566570848226547,17.807673778700416
28,DAVIS/train/boxing-fisheye,2,1,0.5,0.013971233740448952,18.547652414870367
29,DAVIS/train/bmx-bumps,16,85,0.5555555555555556,0.040159910917282104,13.962072592140263
30,DAVIS/train/boxing-fisheye,8,4,0.5,0.031893279403448105,14.963008224442033
31,DAVIS/train/bear,16,8,0.5,0.02147017791867256,16.68164356645374
32,DAVIS/train/boxing-fisheye,16,83,0.5,0.01663004234433174,17.791066449544914
33,DAVIS/train/bmx-bumps,8,4,0.5,0.030445290729403496,15.164798744071986
34,DAVIS/train/boat,4,2,0.5,0.003164826426655054,24.996501036602186
35,DAVIS/train/bmx-bumps,16,85,0.5555555555555556,0.04016092047095299,13.961963419069988
36,DAVIS/train/boxing-fisheye,4,2,0.5,0.022288644686341286,16.519163390181305
37,DAVIS/train/boat,16,69,0.5,0.004323960747569799,23.641182571773797
38,DAVIS/train/boat,2,1,0.5,0.0022879980970174074,26.40544341091943
39,DAVIS/train/boxing-fisheye,16,83,0.5,0.016628561541438103,17.791453179263414
