variant,step,loss_type,loss,sample,frame_gap,target_frame_index,normalized_time
rgb_h128,1,rgb,0.021476855501532555,DAVIS/train/bear,16,8,0.5
rgb_h128,2,rgb,0.04014860466122627,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
rgb_h128,3,rgb,0.0166378952562809,DAVIS/train/boxing-fisheye,16,83,0.5
rgb_h128,4,rgb,0.004289227072149515,DAVIS/train/boat,8,4,0.5
rgb_h128,5,rgb,0.01148570142686367,DAVIS/train/bear,4,2,0.5
rgb_h128,6,rgb,0.006784074939787388,DAVIS/train/bear,2,1,0.5
rgb_h128,7,rgb,0.016578109934926033,DAVIS/train/bear,8,4,0.5
rgb_h128,8,rgb,0.030430246144533157,DAVIS/train/bmx-bumps,8,4,0.5
rgb_h128,9,rgb,0.031892746686935425,DAVIS/train/boxing-fisheye,8,4,0.5
rgb_h128,10,rgb,0.022291969507932663,DAVIS/train/boxing-fisheye,4,2,0.5
rgb_h128,11,rgb,0.012914322316646576,DAVIS/train/bmx-bumps,2,1,0.5
rgb_h128,12,rgb,0.0022960936184972525,DAVIS/train/boat,2,1,0.5
rgb_h128,13,rgb,0.013981830328702927,DAVIS/train/boxing-fisheye,2,1,0.5
rgb_h128,14,rgb,0.0043309470638632774,DAVIS/train/boat,16,69,0.5
rgb_h128,15,rgb,0.019638748839497566,DAVIS/train/bmx-bumps,4,2,0.5
rgb_h128,16,rgb,0.003171330550685525,DAVIS/train/boat,4,2,0.5
rgb_h128,17,rgb,0.011475050821900368,DAVIS/train/bear,4,2,0.5
rgb_h128,18,rgb,0.0022937911562621593,DAVIS/train/boat,2,1,0.5
rgb_h128,19,rgb,0.030437028035521507,DAVIS/train/bmx-bumps,8,4,0.5
rgb_h128,20,rgb,0.02229064330458641,DAVIS/train/boxing-fisheye,4,2,0.5
rgb_h128,21,rgb,0.006772676017135382,DAVIS/train/bear,2,1,0.5
rgb_h128,22,rgb,0.004283353220671415,DAVIS/train/boat,8,4,0.5
rgb_h128,23,rgb,0.003168955445289612,DAVIS/train/boat,4,2,0.5
rgb_h128,24,rgb,0.004327730275690556,DAVIS/train/boat,16,69,0.5
rgb_h128,25,rgb,0.012910284101963043,DAVIS/train/bmx-bumps,2,1,0.5
rgb_h128,26,rgb,0.01963737979531288,DAVIS/train/bmx-bumps,4,2,0.5
rgb_h128,27,rgb,0.0165665615350008,DAVIS/train/bear,8,4,0.5
rgb_h128,28,rgb,0.013971219770610332,DAVIS/train/boxing-fisheye,2,1,0.5
rgb_h128,29,rgb,0.04015977308154106,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
