variant,step,loss_type,loss,sample,frame_gap,target_frame_index,normalized_time
rgb_h256,1,rgb,0.04026943817734718,DAVIS/train/dancing,16,55,0.5384615384615384
rgb_h256,2,rgb,0.006290848832577467,DAVIS/train/breakdance-flare,2,1,0.5
rgb_h256,3,rgb,0.017368484288454056,DAVIS/train/koala,4,2,0.5
rgb_h256,4,rgb,0.015575543977320194,DAVIS/train/color-run,4,2,0.5
rgb_h256,5,rgb,0.03941334784030914,DAVIS/train/lady-running,16,8,0.5
rgb_h256,6,rgb,0.025243613868951797,DAVIS/train/color-run,8,4,0.5
rgb_h256,7,rgb,0.008289331570267677,DAVIS/train/hockey,2,1,0.5
rgb_h256,8,rgb,0.003176393685862422,DAVIS/train/boat,4,2,0.5
rgb_h256,9,rgb,0.004290588200092316,DAVIS/train/boat,8,4,0.5
rgb_h256,10,rgb,0.012700135819613934,DAVIS/train/dog-gooses,4,2,0.5
rgb_h256,11,rgb,0.011874033138155937,DAVIS/train/lady-running,2,1,0.5
rgb_h256,12,rgb,0.01985485479235649,DAVIS/train/lindy-hop,16,68,0.5
rgb_h256,13,rgb,0.01999003067612648,DAVIS/train/drift-turn,8,4,0.5
rgb_h256,14,rgb,0.06267761439085007,DAVIS/train/drone,16,85,0.5
rgb_h256,15,rgb,0.04024801030755043,DAVIS/train/classic-car,4,2,0.5
rgb_h256,16,rgb,0.0095807621255517,DAVIS/train/mallard-fly,8,4,0.5
rgb_h256,17,rgb,0.008599022403359413,DAVIS/train/crossing,8,4,0.5
rgb_h256,18,rgb,0.012916328385472298,DAVIS/train/bmx-bumps,2,1,0.5
rgb_h256,19,rgb,0.010009048506617546,DAVIS/train/breakdance-flare,4,2,0.5
rgb_h256,20,rgb,0.030304333195090294,DAVIS/train/longboard,8,4,0.5
rgb_h256,21,rgb,0.03405475616455078,DAVIS/train/dancing,8,4,0.5
rgb_h256,22,rgb,0.006540470756590366,DAVIS/train/color-run,2,1,0.5
rgb_h256,23,rgb,0.018382644280791283,DAVIS/train/drift-turn,2,1,0.5
rgb_h256,24,rgb,0.012300175614655018,DAVIS/train/dance-jump,2,1,0.5
rgb_h256,25,rgb,0.04014900326728821,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
rgb_h256,26,rgb,0.013656358234584332,DAVIS/train/flamingo,4,2,0.5
rgb_h256,27,rgb,0.008286649361252785,DAVIS/train/disc-jockey,16,70,0.5454545454545454
rgb_h256,28,rgb,0.0074555580504238605,DAVIS/train/crossing,2,1,0.5
rgb_h256,29,rgb,0.007986743003129959,DAVIS/train/koala,16,98,0.6666666666666666
rgb_h256,30,rgb,0.013811429031193256,DAVIS/train/bus,8,4,0.5
