dataset,split,selector_split,sequence,sample,left_index,right_index,segment_length,middle_count,normalized_left,normalized_right,endpoint_anchor_mse,endpoint_anchor_l1,endpoint_rgb_mse,endpoint_opacity_mse,endpoint_scale_mse,endpoint_xyz_mse,endpoint_rot_mse,left_opacity_mean,right_opacity_mean,left_scale_mean,right_scale_mean,rgb_motion_mean,rgb_motion_max,rgb_endpoint_mse,label_adapter_mse_sum,label_adapter_mse_mean,label_adapter_mse_max,label_linear_mse_sum,label_linear_mse_mean,label_adapter_delta_vs_linear_sum,label_adapter_delta_vs_linear_mean,label_log_adapter_mse_mean,label_adapter_better_than_linear
DAVIS,train,train,bus,DAVIS/train/bus,0,2,2,1,0.0,0.02531645569620253,0.007201238069683313,0.026107169687747955,0.02616330049932003,0.013726477511227131,1.461650185774488e-06,0.0004655919619835913,0.0,0.8564114570617676,0.8555096983909607,0.00487115141004324,0.004898007493466139,0.022906135767698288,0.02561849169433117,0.0055973888374865055,0.026473164558410645,0.026473164558410645,0.026473164558410645,0.0038881171494722366,0.0038881171494722366,0.022585047408938408,0.022585047408938408,-1.5771941407333103,false
DAVIS,train,train,bus,DAVIS/train/bus,0,4,4,3,0.0,0.05063291139240506,0.009269739501178265,0.03158636763691902,0.034222327172756195,0.015473849140107632,1.6924992678468698e-06,0.0007874584407545626,0.0,0.8564114570617676,0.8545666337013245,0.00487115141004324,0.004908435046672821,0.026062491815537214,0.033936187624931335,0.012291590683162212,0.07763614505529404,0.025878715018431347,0.028411561623215675,0.016099301166832447,0.005366433722277482,0.06153684388846159,0.020512281296153866,-1.5870572919069321,false
DAVIS,train,train,bus,DAVIS/train/bus,0,7,7,6,0.0,0.08860759493670886,0.01578526571393013,0.04447242617607117,0.060310132801532745,0.019947009161114693,2.361974793529953e-06,0.0014420936349779367,0.0,0.8564114570617676,0.8504522442817688,0.00487115141004324,0.004899141378700733,0.030061667785048485,0.04541781544685364,0.022436335682868958,0.15848256647586823,0.02641376107931137,0.03112010844051838,0.03953374456614256,0.006588957427690427,0.11894882190972567,0.019824803651620943,-1.5781697547897495,false
DAVIS,train,train,bus,DAVIS/train/bus,0,9,9,8,0.0,0.11392405063291139,0.014036199077963829,0.04225096106529236,0.05280937999486923,0.019561104476451874,2.138563104381319e-06,0.0014923450071364641,0.0,0.8564114570617676,0.8524969220161438,0.00487115141004324,0.004859228152781725,0.02838999219238758,0.04541781544685364,0.01964205875992775,0.21136254258453846,0.026420317823067307,0.031036019325256348,0.055309449788182974,0.006913681223522872,0.15605309279635549,0.019506636599544436,-1.5780619623305594,false
DAVIS,train,train,bus,DAVIS/train/bus,0,12,12,11,0.0,0.1518987341772152,0.01430983655154705,0.0434190072119236,0.053969427943229675,0.019091704860329628,2.1851165001862682e-06,0.0016744958702474833,0.0,0.8564114570617676,0.8526600003242493,0.00487115141004324,0.004850553348660469,0.026905388416101534,0.04541781544685364,0.02271091751754284,0.30375058576464653,0.027613689614967865,0.03426086902618408,0.0915410635061562,0.008321914864196018,0.21220952225849032,0.019291774750771845,-1.558875561024661,false
DAVIS,train,train,bus,DAVIS/train/bus,0,15,15,14,0.0,0.189873417721519,0.01646016351878643,0.04747981205582619,0.0627712607383728,0.02003387361764908,2.391129100942635e-06,0.001876550610177219,0.0,0.8564114570617676,0.8519747257232666,0.00487115141004324,0.004841448739171028,0.026252873117725055,0.04541781544685364,0.02803482674062252,0.39498091116547585,0.028212922226105417,0.03392006456851959,0.1263338108547032,0.009023843632478799,0.26864710031077266,0.01918907859362662,-1.5495519283296058,false
DAVIS,train,train,bus,DAVIS/train/bus,1,5,4,3,0.012658227848101266,0.06329113924050633,0.01091406587511301,0.03481065481901169,0.040845587849617004,0.01698000356554985,1.8271730368724093e-06,0.0007874678703956306,0.0,0.8532179594039917,0.8514899015426636,0.004901615437120199,0.004944355692714453,0.029178236611187458,0.038081470876932144,0.013771265745162964,0.0786756630986929,0.026225221032897632,0.0286665428429842,0.016394319012761116,0.005464773004253705,0.06228134408593178,0.02076044802864393,-1.5812808427569967,false
DAVIS,train,train,bus,DAVIS/train/bus,1,16,15,14,0.012658227848101266,0.20253164556962025,0.016983114182949066,0.048151738941669464,0.06502770632505417,0.020040227100253105,2.3297250208997866e-06,0.0018841444980353117,0.0,0.8532179594039917,0.8526075482368469,0.004901615437120199,0.004839092027395964,0.026217576364676157,0.04541781544685364,0.029309740290045738,0.4022665861994028,0.02873332758567163,0.033984437584877014,0.13256428577005863,0.009468877555004187,0.2697023004293442,0.019264450030667443,-1.5416140757537797,false
DAVIS,train,train,bus,DAVIS/train/bus,2,10,8,7,0.02531645569620253,0.12658227848101267,0.013282266445457935,0.041022200137376785,0.04979730397462845,0.018883146345615387,1.985940798476804e-06,0.001463468186557293,0.0,0.8555096983909607,0.8524569272994995,0.004898007493466139,0.0048213847912848,0.029029957251623273,0.04541781544685364,0.01825360395014286,0.1926062647253275,0.027515180675046786,0.03320212662220001,0.05550270341336727,0.00792895763048104,0.13710356131196022,0.019586223044565747,-1.5604276310864242,false
DAVIS,train,train,bus,DAVIS/train/bus,2,11,9,8,0.02531645569620253,0.13924050632911392,0.013505162671208382,0.041484981775283813,0.05076901614665985,0.01867418922483921,2.0648938061640365e-06,0.0015272453892976046,0.0,0.8555096983909607,0.8519837856292725,0.004898007493466139,0.004848000593483448,0.028180034831166267,0.04541781544685364,0.01904073916375637,0.222480284050107,0.027810035506263375,0.03363308683037758,0.06645359843969345,0.008306699804961681,0.15602668561041355,0.019503335701301694,-1.5557984566375052,false
