policy,sample,reference_gap,chosen_method,delta_all_psnr,chosen_reason,train_policy,indices
uniform,DAVIS/val/bmx-trees,4,uniform,0.0,always uniform,always uniform,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79
uniform,DAVIS/val/bmx-trees,8,uniform,0.0,always uniform,always uniform,0 8 16 24 32 40 48 56 64 72 79
uniform,DAVIS/val/bmx-trees,16,uniform,0.0,always uniform,always uniform,0 16 32 48 64 79
uniform,DAVIS/val/car-shadow,4,uniform,0.0,always uniform,always uniform,0 4 8 12 16 20 24 28 32 36 39
uniform,DAVIS/val/car-shadow,8,uniform,0.0,always uniform,always uniform,0 8 16 24 32 39
uniform,DAVIS/val/car-shadow,16,uniform,0.0,always uniform,always uniform,0 16 32 39
uniform,DAVIS/val/goat,4,uniform,0.0,always uniform,always uniform,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89
uniform,DAVIS/val/goat,8,uniform,0.0,always uniform,always uniform,0 8 16 24 32 40 48 56 64 72 80 88 89
uniform,DAVIS/val/goat,16,uniform,0.0,always uniform,always uniform,0 16 32 48 64 80 89
uniform,DAVIS/val/soapbox,4,uniform,0.0,always uniform,always uniform,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 98
uniform,DAVIS/val/soapbox,8,uniform,0.0,always uniform,always uniform,0 8 16 24 32 40 48 56 64 72 80 88 96 98
uniform,DAVIS/val/soapbox,16,uniform,0.0,always uniform,always uniform,0 16 32 48 64 80 96 98
fixed_predicted,DAVIS/val/bmx-trees,4,predicted_full_feature_dp,0.06357661189149155,always predicted,always predicted,0 4 9 15 18 23 26 31 33 37 38 42 45 48 50 55 60 62 67 72 79
fixed_predicted,DAVIS/val/bmx-trees,8,predicted_full_feature_dp,-0.03615984112334303,always predicted,always predicted,0 9 16 25 32 43 50 55 62 70 79
fixed_predicted,DAVIS/val/bmx-trees,16,predicted_full_feature_dp,0.0,always predicted,always predicted,0 16 32 48 64 79
fixed_predicted,DAVIS/val/car-shadow,4,predicted_full_feature_dp,-0.000555582328463089,always predicted,always predicted,0 4 8 12 16 20 23 27 31 35 39
fixed_predicted,DAVIS/val/car-shadow,8,predicted_full_feature_dp,-0.006733966014870418,always predicted,always predicted,0 8 16 23 32 39
fixed_predicted,DAVIS/val/car-shadow,16,predicted_full_feature_dp,0.04549131375734561,always predicted,always predicted,0 12 26 39
fixed_predicted,DAVIS/val/goat,4,predicted_full_feature_dp,0.0055252224122490645,always predicted,always predicted,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
fixed_predicted,DAVIS/val/goat,8,predicted_full_feature_dp,-0.10978492809701024,always predicted,always predicted,0 7 16 24 32 41 49 54 59 64 70 83 89
fixed_predicted,DAVIS/val/goat,16,predicted_full_feature_dp,0.02716329180723065,always predicted,always predicted,0 16 30 45 60 73 89
fixed_predicted,DAVIS/val/soapbox,4,predicted_full_feature_dp,0.03415602364444936,always predicted,always predicted,0 5 12 19 25 30 34 38 42 46 49 53 56 59 62 64 67 69 73 76 79 82 86 90 95 98
fixed_predicted,DAVIS/val/soapbox,8,predicted_full_feature_dp,0.08340300738787576,always predicted,always predicted,0 9 19 27 34 41 47 53 59 64 73 83 92 98
fixed_predicted,DAVIS/val/soapbox,16,predicted_full_feature_dp,0.26277712715562274,always predicted,always predicted,0 14 27 43 56 70 85 98
oracle_positive_fallback,DAVIS/val/bmx-trees,4,predicted_full_feature_dp,0.06357661189149155,actual rendered delta sign,uses actual rendered outcome,0 4 9 15 18 23 26 31 33 37 38 42 45 48 50 55 60 62 67 72 79
oracle_positive_fallback,DAVIS/val/bmx-trees,8,uniform,0.0,actual rendered delta sign,uses actual rendered outcome,0 8 16 24 32 40 48 56 64 72 79
oracle_positive_fallback,DAVIS/val/bmx-trees,16,uniform,0.0,actual rendered delta sign,uses actual rendered outcome,0 16 32 48 64 79
oracle_positive_fallback,DAVIS/val/car-shadow,4,uniform,0.0,actual rendered delta sign,uses actual rendered outcome,0 4 8 12 16 20 24 28 32 36 39
oracle_positive_fallback,DAVIS/val/car-shadow,8,uniform,0.0,actual rendered delta sign,uses actual rendered outcome,0 8 16 24 32 39
oracle_positive_fallback,DAVIS/val/car-shadow,16,predicted_full_feature_dp,0.04549131375734561,actual rendered delta sign,uses actual rendered outcome,0 12 26 39
oracle_positive_fallback,DAVIS/val/goat,4,predicted_full_feature_dp,0.0055252224122490645,actual rendered delta sign,uses actual rendered outcome,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
oracle_positive_fallback,DAVIS/val/goat,8,uniform,0.0,actual rendered delta sign,uses actual rendered outcome,0 8 16 24 32 40 48 56 64 72 80 88 89
oracle_positive_fallback,DAVIS/val/goat,16,predicted_full_feature_dp,0.02716329180723065,actual rendered delta sign,uses actual rendered outcome,0 16 30 45 60 73 89
oracle_positive_fallback,DAVIS/val/soapbox,4,predicted_full_feature_dp,0.03415602364444936,actual rendered delta sign,uses actual rendered outcome,0 5 12 19 25 30 34 38 42 46 49 53 56 59 62 64 67 69 73 76 79 82 86 90 95 98
oracle_positive_fallback,DAVIS/val/soapbox,8,predicted_full_feature_dp,0.08340300738787576,actual rendered delta sign,uses actual rendered outcome,0 9 19 27 34 41 47 53 59 64 73 83 92 98
oracle_positive_fallback,DAVIS/val/soapbox,16,predicted_full_feature_dp,0.26277712715562274,actual rendered delta sign,uses actual rendered outcome,0 14 27 43 56 70 85 98
same_data_threshold_fallback,DAVIS/val/bmx-trees,4,predicted_full_feature_dp,0.06357661189149155,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 4 9 15 18 23 26 31 33 37 38 42 45 48 50 55 60 62 67 72 79
same_data_threshold_fallback,DAVIS/val/bmx-trees,8,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 8 16 24 32 40 48 56 64 72 79
same_data_threshold_fallback,DAVIS/val/bmx-trees,16,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 16 32 48 64 79
same_data_threshold_fallback,DAVIS/val/car-shadow,4,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 4 8 12 16 20 24 28 32 36 39
same_data_threshold_fallback,DAVIS/val/car-shadow,8,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 8 16 24 32 39
same_data_threshold_fallback,DAVIS/val/car-shadow,16,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 16 32 39
same_data_threshold_fallback,DAVIS/val/goat,4,predicted_full_feature_dp,0.0055252224122490645,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
same_data_threshold_fallback,DAVIS/val/goat,8,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 8 16 24 32 40 48 56 64 72 80 88 89
