sample,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,dataset_item_relative,anchor_mib,gaussians_per_anchor
n3dv,2,0,2,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000000_000002.pt,n3dv/gap2/pair_000000_000002.pt,1.828125,36864
n3dv,2,2,4,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000002_000004.pt,n3dv/gap2/pair_000002_000004.pt,1.828125,36864
n3dv,2,4,6,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000004_000006.pt,n3dv/gap2/pair_000004_000006.pt,1.828125,36864
n3dv,2,6,8,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000006_000008.pt,n3dv/gap2/pair_000006_000008.pt,1.828125,36864
n3dv,2,8,10,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000008_000010.pt,n3dv/gap2/pair_000008_000010.pt,1.828125,36864
n3dv,2,10,12,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000010_000012.pt,n3dv/gap2/pair_000010_000012.pt,1.828125,36864
n3dv,2,12,14,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000012_000014.pt,n3dv/gap2/pair_000012_000014.pt,1.828125,36864
n3dv,2,14,16,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000014_000016.pt,n3dv/gap2/pair_000014_000016.pt,1.828125,36864
n3dv,2,16,18,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000016_000018.pt,n3dv/gap2/pair_000016_000018.pt,1.828125,36864
n3dv,2,18,20,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000018_000020.pt,n3dv/gap2/pair_000018_000020.pt,1.828125,36864
n3dv,2,20,22,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000020_000022.pt,n3dv/gap2/pair_000020_000022.pt,1.828125,36864
n3dv,2,22,24,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000022_000024.pt,n3dv/gap2/pair_000022_000024.pt,1.828125,36864
n3dv,2,24,26,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000024_000026.pt,n3dv/gap2/pair_000024_000026.pt,1.828125,36864
n3dv,2,26,28,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000026_000028.pt,n3dv/gap2/pair_000026_000028.pt,1.828125,36864
n3dv,2,28,30,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000028_000030.pt,n3dv/gap2/pair_000028_000030.pt,1.828125,36864
n3dv,2,30,32,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000030_000032.pt,n3dv/gap2/pair_000030_000032.pt,1.828125,36864
n3dv,2,32,34,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000032_000034.pt,n3dv/gap2/pair_000032_000034.pt,1.828125,36864
