sample,reference_gap,method,selector,q8_static_anchor_mib_per_frame,all_psnr
DAVIS/val/bmx-trees,4,linear_anchor,predicted_full_feature_dp,0.119970703125,19.815205540690197
DAVIS/val/bmx-trees,8,linear_anchor,predicted_full_feature_dp,0.062841796875,17.506483263379174
DAVIS/val/bmx-trees,16,linear_anchor,predicted_full_feature_dp,0.03427734375,15.868150419292437
DAVIS/val/bmx-trees,4,linear_anchor,uniform,0.119970703125,19.72716646774132
DAVIS/val/bmx-trees,8,linear_anchor,uniform,0.062841796875,17.509492299488954
DAVIS/val/bmx-trees,16,linear_anchor,uniform,0.03427734375,15.868150419292437
DAVIS/val/bmx-trees,4,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.119970703125,20.133674327209114
DAVIS/val/bmx-trees,8,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.062841796875,17.7858798253786
DAVIS/val/bmx-trees,16,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.03427734375,16.10083832134726
DAVIS/val/bmx-trees,4,stage65_rgb_h256_adapter,uniform,0.119970703125,20.070097715317623
DAVIS/val/bmx-trees,8,stage65_rgb_h256_adapter,uniform,0.062841796875,17.822039666501944
DAVIS/val/bmx-trees,16,stage65_rgb_h256_adapter,uniform,0.03427734375,16.10083832134726
DAVIS/val/car-shadow,4,linear_anchor,predicted_full_feature_dp,0.12568359375,20.559459080278703
DAVIS/val/car-shadow,8,linear_anchor,predicted_full_feature_dp,0.0685546875,18.59916207286417
DAVIS/val/car-shadow,16,linear_anchor,predicted_full_feature_dp,0.045703125,17.607269874961503
DAVIS/val/car-shadow,4,linear_anchor,uniform,0.12568359375,20.559140758854273
DAVIS/val/car-shadow,8,linear_anchor,uniform,0.0685546875,18.604637539837704
DAVIS/val/car-shadow,16,linear_anchor,uniform,0.045703125,17.573439028143355
DAVIS/val/car-shadow,4,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.12568359375,21.102003395694947
DAVIS/val/car-shadow,8,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.0685546875,19.17832982344394
DAVIS/val/car-shadow,16,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.045703125,18.166228999092716
DAVIS/val/car-shadow,4,stage65_rgb_h256_adapter,uniform,0.12568359375,21.10255897802341
DAVIS/val/car-shadow,8,stage65_rgb_h256_adapter,uniform,0.0685546875,19.18506378945881
DAVIS/val/car-shadow,16,stage65_rgb_h256_adapter,uniform,0.045703125,18.12073768533537
DAVIS/val/goat,4,linear_anchor,predicted_full_feature_dp,0.121875,19.145686403450433
DAVIS/val/goat,8,linear_anchor,predicted_full_feature_dp,0.066015625,17.291569886602066
DAVIS/val/goat,16,linear_anchor,predicted_full_feature_dp,0.035546875,16.245103358339517
DAVIS/val/goat,4,linear_anchor,uniform,0.121875,19.153657725977755
DAVIS/val/goat,8,linear_anchor,uniform,0.066015625,17.403143137809028
DAVIS/val/goat,16,linear_anchor,uniform,0.035546875,16.217413900960498
DAVIS/val/goat,4,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.121875,19.742322296239898
DAVIS/val/goat,8,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.066015625,17.876470475541243
DAVIS/val/goat,16,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.035546875,16.76797396499338
DAVIS/val/goat,4,stage65_rgb_h256_adapter,uniform,0.121875,19.73679707382765
DAVIS/val/goat,8,stage65_rgb_h256_adapter,uniform,0.066015625,17.986255403638253
DAVIS/val/goat,16,stage65_rgb_h256_adapter,uniform,0.035546875,16.74081067318615
DAVIS/val/soapbox,4,linear_anchor,predicted_full_feature_dp,0.12002840909090909,21.119494536623645
DAVIS/val/soapbox,8,linear_anchor,predicted_full_feature_dp,0.06463068181818182,18.817178264123594
DAVIS/val/soapbox,16,linear_anchor,predicted_full_feature_dp,0.036931818181818184,16.966070609206998
DAVIS/val/soapbox,4,linear_anchor,uniform,0.12002840909090909,21.109689026669123
DAVIS/val/soapbox,8,linear_anchor,uniform,0.06463068181818182,18.7365648659621
DAVIS/val/soapbox,16,linear_anchor,uniform,0.036931818181818184,16.727263429515755
DAVIS/val/soapbox,4,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.12002840909090909,21.558829687362664
DAVIS/val/soapbox,8,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.06463068181818182,19.259998745495473
DAVIS/val/soapbox,16,stage65_rgb_h256_adapter,predicted_full_feature_dp,0.036931818181818184,17.352520629516956
DAVIS/val/soapbox,4,stage65_rgb_h256_adapter,uniform,0.12002840909090909,21.524673663718215
DAVIS/val/soapbox,8,stage65_rgb_h256_adapter,uniform,0.06463068181818182,19.176595738107597
DAVIS/val/soapbox,16,stage65_rgb_h256_adapter,uniform,0.036931818181818184,17.089743502361333
