sample,reference_gap,selector,total_frames,keyframe_count,keyframe_ratio,q8_static_anchor_mib_per_frame
DAVIS/val/bmx-trees,4,predicted_full_feature_dp,80,21,0.2625,0.119970703125
DAVIS/val/bmx-trees,4,uniform,80,21,0.2625,0.119970703125
DAVIS/val/bmx-trees,8,predicted_full_feature_dp,80,11,0.1375,0.062841796875
DAVIS/val/bmx-trees,8,uniform,80,11,0.1375,0.062841796875
DAVIS/val/bmx-trees,16,predicted_full_feature_dp,80,6,0.075,0.03427734375
DAVIS/val/bmx-trees,16,uniform,80,6,0.075,0.03427734375
DAVIS/val/car-shadow,4,predicted_full_feature_dp,40,11,0.275,0.12568359375
DAVIS/val/car-shadow,4,uniform,40,11,0.275,0.12568359375
DAVIS/val/car-shadow,8,predicted_full_feature_dp,40,6,0.15,0.0685546875
DAVIS/val/car-shadow,8,uniform,40,6,0.15,0.0685546875
DAVIS/val/car-shadow,16,predicted_full_feature_dp,40,4,0.1,0.045703125
DAVIS/val/car-shadow,16,uniform,40,4,0.1,0.045703125
DAVIS/val/goat,4,predicted_full_feature_dp,90,24,0.26666666666666666,0.121875
DAVIS/val/goat,4,uniform,90,24,0.26666666666666666,0.121875
DAVIS/val/goat,8,predicted_full_feature_dp,90,13,0.14444444444444443,0.066015625
DAVIS/val/goat,8,uniform,90,13,0.14444444444444443,0.066015625
DAVIS/val/goat,16,predicted_full_feature_dp,90,7,0.07777777777777778,0.035546875
DAVIS/val/goat,16,uniform,90,7,0.07777777777777778,0.035546875
DAVIS/val/soapbox,4,predicted_full_feature_dp,99,26,0.26262626262626265,0.12002840909090909
DAVIS/val/soapbox,4,uniform,99,26,0.26262626262626265,0.12002840909090909
DAVIS/val/soapbox,8,predicted_full_feature_dp,99,14,0.1414141414141414,0.06463068181818182
DAVIS/val/soapbox,8,uniform,99,14,0.1414141414141414,0.06463068181818182
DAVIS/val/soapbox,16,predicted_full_feature_dp,99,8,0.08080808080808081,0.036931818181818184
DAVIS/val/soapbox,16,uniform,99,8,0.08080808080808081,0.036931818181818184
