sample,split,sequence,frame_gap,total_frames,keyframe_count,keyframe_ratio,pair_count,complete,raw_pred_gs_mib,raw_pred_gs_mib_per_frame,all_count,all_psnr_avg,all_psnr_min,all_ssim_avg,middle_count,middle_psnr_avg,middle_psnr_min,middle_ssim_avg,given_count,given_psnr_avg,given_psnr_min,given_ssim_avg
DAVIS/val/bmx-trees,val,bmx-trees,4,80,21,0.2625,20,True,123.75,1.546875,80,24.04302939633874,15.710133215666636,0.6304140608757735,59,21.68757056074995,15.710133215666636,0.5359741797891714,21,30.660747077278664,25.925229246876892,0.8957451553571791
DAVIS/val/car-shadow,val,car-shadow,4,40,11,0.275,10,True,61.875,1.546875,40,23.820680846587777,18.792257217307508,0.7234198078513145,29,21.52604418632991,18.792257217307508,0.6475922259791144,11,29.870177496358533,29.482814748555196,0.9233288873325695
DAVIS/val/goat,val,goat,4,90,24,0.26666666666666666,23,True,142.3125,1.58125,90,20.42551732006098,15.540947808268283,0.42552069731884534,66,17.874475688153748,15.540947808268283,0.25900157258817647,24,27.440881807805866,26.564115828941226,0.8834482903281847
DAVIS/val/soapbox,val,soapbox,4,99,26,0.26262626262626265,25,True,154.6875,1.5625,99,24.68916458241108,17.23886230879177,0.7067550881342455,73,22.438241130237135,17.23886230879177,0.6345795756333494,26,31.009065044284082,29.120663938322483,0.909401719386761
DAVIS/val/bmx-trees,val,bmx-trees,8,80,11,0.1375,10,True,61.875,0.7734375,80,19.889383170223805,14.142125434040153,0.39871936589479445,69,18.167816631961745,14.142125434040153,0.3197225038556085,11,30.68830054659492,25.924505998607344,0.89424513686787
DAVIS/val/car-shadow,val,car-shadow,8,40,6,0.15,5,True,30.9375,0.7734375,40,22.66411232871394,18.824128367328527,0.6735988438129425,34,21.407136505721912,18.824128367328527,0.6300213687560138,6,29.786975325668763,29.51328341407062,0.9205378691355387
DAVIS/val/goat,val,goat,8,90,13,0.14444444444444443,12,True,74.25,0.825,90,18.20087330775574,13.917581241384125,0.28217782465120156,77,16.64729799731431,13.917581241384125,0.18074155729505922,13,27.402819377293458,26.693308164400765,0.8829926389914292
DAVIS/val/soapbox,val,soapbox,8,99,14,0.1414141414141414,13,True,80.4375,0.8125,99,21.976494843093363,16.647885583921074,0.5835022128591634,85,20.490701371055316,16.647885583921074,0.5298807091572706,14,30.997383780467224,29.095596905032526,0.9090613424777985
DAVIS/val/bmx-trees,val,bmx-trees,16,80,6,0.075,5,True,30.9375,0.38671875,80,16.961003092038144,12.856305017644079,0.2722553603351116,74,15.857793233370767,12.856305017644079,0.2223111826020318,6,30.567258015602476,25.924494921342802,0.8882335523764292
DAVIS/val/car-shadow,val,car-shadow,16,40,4,0.1,3,True,18.5625,0.4640625,40,20.56648844037132,17.6738428446793,0.5692432388663292,36,19.545421857031222,17.6738428446793,0.5305492464039061,4,29.756087690432174,29.502550322792132,0.9174891710281372
DAVIS/val/goat,val,goat,16,90,7,0.07777777777777778,6,True,37.125,0.4125,90,16.475211046092024,13.954344603697713,0.17870610476368004,83,15.555280504564367,13.954344603697713,0.11933878589286862,7,27.382958895634257,26.690725824121447,0.882632885660444
DAVIS/val/soapbox,val,soapbox,16,99,8,0.08080808080808081,7,True,43.3125,0.4375,99,19.41116077143655,14.81043872932154,0.45387287633587614,91,18.387887042680056,14.81043872932154,0.4138161205983424,8,31.050899436041675,29.10640257907326,0.9095184728503227
