sample,frame_gap,original_streamsplat_all_psnr,original_streamsplat_middle_psnr,original_streamsplat_given_psnr,stage70_linear_uniform_all_psnr,stage70_adapter_uniform_all_psnr,stage70_adapter_predicted_all_psnr,delta_original_vs_stage70_adapter_uniform,delta_original_vs_stage70_linear_uniform
DAVIS/val/bmx-trees,4,24.04302939633874,21.68757056074995,30.660747077278664,19.72716646774132,20.070097715317623,20.133674327209114,3.972931681021116,4.315862928597419
DAVIS/val/car-shadow,4,23.820680846587777,21.52604418632991,29.870177496358533,20.559140758854273,21.10255897802341,21.102003395694947,2.718121868564367,3.261540087733504
DAVIS/val/goat,4,20.42551732006098,17.874475688153748,27.440881807805866,19.153657725977755,19.73679707382765,19.742322296239898,0.6887202462333306,1.2718595940832245
DAVIS/val/soapbox,4,24.68916458241108,22.438241130237135,31.009065044284082,21.109689026669123,21.524673663718215,21.558829687362664,3.1644909186928665,3.5794755557419577
DAVIS/val/bmx-trees,8,19.889383170223805,18.167816631961745,30.68830054659492,17.509492299488954,17.822039666501944,17.7858798253786,2.0673435037218617,2.379890870734851
DAVIS/val/car-shadow,8,22.66411232871394,21.407136505721912,29.786975325668763,18.604637539837704,19.18506378945881,19.17832982344394,3.479048539255132,4.059474788876237
DAVIS/val/goat,8,18.20087330775574,16.64729799731431,27.402819377293458,17.403143137809028,17.986255403638253,17.876470475541243,0.21461790411748538,0.7977301699467105
DAVIS/val/soapbox,8,21.976494843093363,20.490701371055316,30.997383780467224,18.7365648659621,19.176595738107597,19.259998745495473,2.7998991049857658,3.2399299771312613
DAVIS/val/bmx-trees,16,16.961003092038144,15.857793233370767,30.567258015602476,15.868150419292437,16.10083832134726,16.10083832134726,0.8601647706908828,1.0928526727457069
DAVIS/val/car-shadow,16,20.56648844037132,19.545421857031222,29.756087690432174,17.573439028143355,18.12073768533537,18.166228999092716,2.4457507550359487,2.9930494122279647
DAVIS/val/goat,16,16.475211046092024,15.555280504564367,27.382958895634257,16.217413900960498,16.74081067318615,16.76797396499338,-0.2655996270941259,0.2577971451315264
DAVIS/val/soapbox,16,19.41116077143655,18.387887042680056,31.050899436041675,16.727263429515755,17.089743502361333,17.352520629516956,2.3214172690752157,2.683897341920794
