sample,frame_gap,total_frames,keyframe_count,original_all_psnr,original_middle_psnr,original_given_psnr,float_linear_all_psnr,float_adapter_all_psnr,float_linear_middle_psnr,float_adapter_middle_psnr,float_given_psnr,q8_linear_all_psnr,q8_adapter_all_psnr,q8_linear_middle_psnr,q8_adapter_middle_psnr,q8_given_psnr,stage70_linear_uniform_all_psnr,stage70_adapter_uniform_all_psnr,float_adapter_gap_to_original_all,q8_adapter_gap_to_original_all,q8_loss_adapter_all,q8_loss_linear_all,float_given_gap_to_original_given,q8_given_gap_to_original_given
DAVIS/val/bmx-trees,4,80,21,24.04302939633874,21.68757056074995,30.660747077278664,20.43161052439851,20.75448108653642,16.80084804152703,17.23863863425639,30.63232416675173,19.72716646774132,20.070097715317623,16.77291952335974,17.23791104549711,28.027193597194323,19.72716646774132,20.070097715317623,3.2885483098023194,3.972931681021116,0.6843833712187966,0.7044440566571915,0.028422910526934686,2.633553480084341
DAVIS/val/bmx-trees,8,80,11,19.889383170223805,18.167816631961745,30.68830054659492,17.88226093599828,18.178185642535045,15.84067712203074,16.183778231058874,30.688559405431,17.509492299488954,17.822039666501944,15.823413719914832,16.18578747877047,28.08580338954481,17.509492299488954,17.822039666501944,1.7111975276887605,2.0673435037218617,0.35614597603310116,0.3727686365093241,-0.0002588588360801225,2.6024971570501094
DAVIS/val/bmx-trees,16,80,6,16.961003092038144,15.857793233370767,30.567258015602476,16.07072737363107,16.295022551265163,14.886265211637994,15.128746484755938,30.679094038212313,15.868150419292437,16.10083832134726,14.883460487453016,15.135014976160932,28.012659578645298,15.868150419292437,16.10083832134726,0.6659805407729813,0.8601647706908828,0.19418422991790152,0.20257695433863177,-0.11183602260983605,2.5545984369571784
DAVIS/val/car-shadow,4,40,11,23.820680846587777,21.52604418632991,29.870177496358533,21.4577853609641,21.980999629242127,18.258686459773156,18.980361312570444,29.89177337319476,20.559140758854273,21.10255897802341,18.21710407685687,18.966646448124646,26.73360110230197,20.559140758854273,21.10255897802341,1.8396812173456496,2.718121868564367,0.8784406512187175,0.898644602109826,-0.021595876836226324,3.1365763940565614
DAVIS/val/car-shadow,8,40,6,22.66411232871394,21.407136505721912,29.786975325668763,19.09173924869812,19.658782515579624,17.199763059600567,17.866872785343514,29.81293765358424,18.604637539837704,19.18506378945881,17.179084176198366,17.861938587517315,26.682773267127274,18.604637539837704,19.18506378945881,3.005329813134317,3.479048539255132,0.4737187261208149,0.4871017088604148,-0.025962327915475925,3.104202058541489
DAVIS/val/car-shadow,16,40,4,20.56648844037132,19.545421857031222,29.756087690432174,17.90676659590462,18.443596695769138,16.583867460157414,17.180345348895766,29.81285881762949,17.573439028143355,18.12073768533537,16.567877238571377,17.17598685767362,26.623495134291147,17.573439028143355,18.12073768533537,2.1228917446021818,2.4457507550359487,0.32285901043376697,0.33332756776126615,-0.05677112719731525,3.1325925561410273
DAVIS/val/goat,4,90,24,20.42551732006098,17.874475688153748,27.440881807805866,19.791223672450144,20.36492746141573,17.029251183763662,17.81157453235309,27.386648016337983,19.153657725977755,19.73679707382765,17.01375461548046,17.80894463527577,25.038391279845314,19.153657725977755,19.73679707382765,0.06058985864525113,0.6887202462333306,0.6281303875880795,0.6375659464723888,0.05423379146788321,2.402490527960552
DAVIS/val/goat,8,90,13,18.20087330775574,16.64729799731431,27.402819377293458,17.749092370855593,18.32540689019295,16.128476990765584,16.80209136401704,27.34812192985028,17.403143137809028,17.986255403638253,16.124523897171,16.806083688399962,24.976503255434313,17.403143137809028,17.986255403638253,-0.12453358243721269,0.21461790411748538,0.33915148655469807,0.34594923304656433,0.054697447443178504,2.426316121859145
DAVIS/val/goat,16,90,7,16.475211046092024,15.555280504564367,27.382958895634257,16.40044695393611,16.92094163734244,15.478570969338893,16.042962794719255,27.331262199874566,16.217413900960498,16.74081067318615,15.48133148102477,16.048870149703188,24.945248308769873,16.217413900960498,16.74081067318615,-0.4457305912504168,-0.2655996270941259,0.18013096415629093,0.18303305297561323,0.05169669575969138,2.437710586864384
DAVIS/val/soapbox,4,99,26,24.68916458241108,22.438241130237135,31.009065044284082,21.918202797759754,22.288713465945264,18.68775173429439,19.19022510621721,30.988315399027865,21.109689026669123,21.524673663718215,18.608049724871137,19.170837109362363,28.133522450948092,21.109689026669123,21.524673663718215,2.400451116465817,3.1644909186928665,0.7640398022270496,0.8085137710906309,0.02074964525621681,2.8755425933359895
DAVIS/val/soapbox,8,99,14,21.976494843093363,20.490701371055316,30.997383780467224,19.167620942347156,19.5835394845991,17.222293329916127,17.706716102656628,30.97853858924984,18.7365648659621,19.176595738107597,17.186663539967373,17.699170085172135,28.146680059501488,18.7365648659621,19.176595738107597,2.3929553584942624,2.7998991049857658,0.40694374649150333,0.4310560763850546,0.018845191217383928,2.850703720965736
DAVIS/val/soapbox,16,99,8,19.41116077143655,18.387887042680056,31.050899436041675,16.971024370094735,17.318591123912274,15.734355123072042,16.11247719590651,31.038137054977852,16.727263429515755,17.089743502361333,15.71923469416203,16.113581147037987,28.19359029416438,16.727263429515755,17.089743502361333,2.092569647524275,2.3214172690752157,0.22884762155094052,0.24376094057898,0.012762381063822659,2.8573091418772947
