sample,gap,mode,depth_norm,metric_space,pair_count,all_count,middle_count,given_count,all_psnr,middle_psnr,given_psnr
DAVIS/val/bmx-trees,5,sliding_fixed,per_frame,official_256_float,75,450,300,150,25.799733597449862,21.250035362188587,34.899130067972415
DAVIS/val/bmx-trees,5,sliding_fixed,per_frame,stage72_512_float,75,450,300,150,23.822684414900728,20.361005294718396,30.746042655265384
DAVIS/val/bmx-trees,5,sliding_fixed,per_frame,stage72_512_uint8,75,450,300,150,23.819572420821686,20.360306275631878,30.73810471120131
DAVIS/val/bmx-trees,8,sliding_fixed,per_frame,official_256_float,72,648,504,144,22.456561068093464,18.901622858649745,34.89884480114647
DAVIS/val/bmx-trees,8,sliding_fixed,per_frame,stage72_512_float,72,648,504,144,21.068239738597217,18.28837155053834,30.797778396803274
DAVIS/val/bmx-trees,8,sliding_fixed,per_frame,stage72_512_uint8,72,648,504,144,21.066127223609698,18.287945376819113,30.789763687376738
DAVIS/val/car-shadow,5,sliding_fixed,per_frame,official_256_float,35,210,140,70,26.979947400340482,23.215540722640547,34.508760755740354
DAVIS/val/car-shadow,5,sliding_fixed,per_frame,stage72_512_float,35,210,140,70,24.445898685057813,21.725623228938417,29.886449597296586
DAVIS/val/car-shadow,5,sliding_fixed,per_frame,stage72_512_uint8,35,210,140,70,24.443490854998213,21.72474151500662,29.880989534981396
DAVIS/val/car-shadow,8,sliding_fixed,per_frame,official_256_float,32,288,224,64,25.187301195400625,22.53477615165189,34.47113884852122
DAVIS/val/car-shadow,8,sliding_fixed,per_frame,stage72_512_float,32,288,224,64,23.09427237451329,21.15721092537513,29.87398744649686
DAVIS/val/car-shadow,8,sliding_fixed,per_frame,stage72_512_uint8,32,288,224,64,23.0924498509993,21.156415025082214,29.868571741709115
DAVIS/val/goat,5,sliding_fixed,per_frame,official_256_float,85,510,340,170,23.449087088112677,18.558613917562237,33.23003342921357
DAVIS/val/goat,5,sliding_fixed,per_frame,stage72_512_float,85,510,340,170,20.815656318932355,17.50481631796235,27.43733632087237
DAVIS/val/goat,5,sliding_fixed,per_frame,stage72_512_uint8,85,510,340,170,20.814394879083846,17.50448511452575,27.434214408200035
DAVIS/val/goat,8,sliding_fixed,per_frame,official_256_float,82,738,574,164,21.09343767810339,17.622093548237647,33.24314213263348
DAVIS/val/goat,8,sliding_fixed,per_frame,stage72_512_float,82,738,574,164,19.116814489103174,16.73505624198932,27.45296835400164
DAVIS/val/goat,8,sliding_fixed,per_frame,stage72_512_uint8,82,738,574,164,19.115899784417753,16.73477365828393,27.449841225886125
DAVIS/val/soapbox,5,sliding_fixed,per_frame,official_256_float,94,564,376,188,27.33502895362105,23.10787606311669,35.78933473462976
DAVIS/val/soapbox,5,sliding_fixed,per_frame,stage72_512_float,94,564,376,188,24.916690336557703,21.843414318595293,31.06324237248251
DAVIS/val/soapbox,5,sliding_fixed,per_frame,stage72_512_uint8,94,564,376,188,24.913564287869857,21.842392159735816,31.05590854413794
DAVIS/val/soapbox,8,sliding_fixed,per_frame,official_256_float,91,819,637,182,24.60442703250043,21.412803340980165,35.77510995282134
DAVIS/val/soapbox,8,sliding_fixed,per_frame,stage72_512_float,91,819,637,182,22.78247168191532,20.413787041274503,31.07286792415818
DAVIS/val/soapbox,8,sliding_fixed,per_frame,stage72_512_uint8,91,819,637,182,22.780261277709947,20.413018504869097,31.06561098265293
