sample,paper_setting,local_gap,pair_count,all_count,middle_count,given_count,all_psnr,middle_psnr,given_psnr
DAVIS/val/bike-packing,Middle-4 frames,5,64,384,256,128,26.481969922968545,23.188191664305585,33.06952644029448
DAVIS/val/bike-packing,8-frame interval,8,61,549,427,122,24.214741661322602,21.69036531751451,33.050058864650914
DAVIS/val/blackswan,Middle-4 frames,5,45,270,180,90,28.46941699257148,25.193966836095257,35.02031730552393
DAVIS/val/blackswan,8-frame interval,8,42,378,294,84,25.99581061325283,23.411301366699522,35.041592976189406
DAVIS/val/bmx-trees,Middle-4 frames,5,75,450,300,150,25.799842400968753,21.25019920212048,34.8991287986653
DAVIS/val/bmx-trees,8-frame interval,8,72,648,504,144,22.456608742700332,18.901684783281794,34.898842600665205
DAVIS/val/breakdance,Middle-4 frames,5,79,474,316,158,24.515378307281537,20.73437637075101,32.077382180342596
DAVIS/val/breakdance,8-frame interval,8,76,684,532,152,22.467010775406354,19.72345134730412,32.069468773764164
DAVIS/val/camel,Middle-4 frames,5,85,510,340,170,26.713606781857912,23.725108326812787,32.69060369194816
DAVIS/val/camel,8-frame interval,8,82,738,574,164,24.50765109137703,22.16845568675202,32.69483500756459
DAVIS/val/car-roundabout,Middle-4 frames,5,70,420,280,140,24.797917386622053,20.93864218836457,32.51646778313702
DAVIS/val/car-roundabout,8-frame interval,8,67,603,469,134,22.970063786243866,20.24712318862208,32.50035587792013
DAVIS/val/car-shadow,Middle-4 frames,5,35,210,140,70,26.9802163801736,23.215938571549987,34.50877199742084
DAVIS/val/car-shadow,8-frame interval,8,32,288,224,64,25.187772077130106,22.53537625633343,34.47115744991848
DAVIS/val/cows,Middle-4 frames,5,99,594,396,198,25.841652948951506,23.50265771769915,30.51964341145623
DAVIS/val/cows,8-frame interval,8,96,864,672,192,24.338873300999488,22.57276104261778,30.520266205335464
DAVIS/val/dance-twirl,Middle-4 frames,5,85,510,340,170,24.86478814171962,20.420233291426687,33.7538978423055
DAVIS/val/dance-twirl,8-frame interval,8,82,738,574,164,22.039859918577392,18.694810212162047,33.74753389103112
DAVIS/val/dog,Middle-4 frames,5,55,330,220,110,26.96721181744273,21.72995806913442,37.44171931405936
DAVIS/val/dog,8-frame interval,8,52,468,364,104,24.67066763191326,21.044102304128273,37.36364627916071
DAVIS/val/dogs-jump,Middle-4 frames,5,61,366,244,122,30.520206584494293,26.344733542201762,38.87115266907935
DAVIS/val/dogs-jump,8-frame interval,8,58,522,406,116,28.145787004879093,25.095588284857183,38.82148252495578
DAVIS/val/drift-chicane,Middle-4 frames,5,47,282,188,94,34.28169910111026,33.19539752173177,36.454302259867255
DAVIS/val/drift-chicane,8-frame interval,8,44,396,308,88,32.92344275087078,31.911075535001924,36.466728006411785
DAVIS/val/drift-straight,Middle-4 frames,5,45,270,180,90,23.00572582881665,16.925101114591016,35.16697525726792
DAVIS/val/drift-straight,8-frame interval,8,42,378,294,84,19.633414086259087,15.209769977468326,35.11616846702675
DAVIS/val/goat,Middle-4 frames,5,85,510,340,170,23.449060988524007,18.558573717157206,33.2300355312576
DAVIS/val/goat,8-frame interval,8,82,738,574,164,21.093476517563015,17.622141633808763,33.243148610702896
DAVIS/val/gold-fish,Middle-4 frames,5,73,438,292,146,30.583798306994797,27.79806525074067,36.15526441950305
DAVIS/val/gold-fish,8-frame interval,8,70,630,490,140,28.276022752906393,26.039291624189428,36.10458170341574
DAVIS/val/horsejump-high,Middle-4 frames,5,45,270,180,90,25.81578110596912,22.15147254008174,33.144398237743886
DAVIS/val/horsejump-high,8-frame interval,8,42,378,294,84,23.057585394239236,20.169590932818316,33.16556600921246
DAVIS/val/india,Middle-4 frames,5,76,456,304,152,27.563596993858393,22.128134794822348,38.43452139193049
DAVIS/val/india,8-frame interval,8,73,657,511,146,24.30756034188137,20.261892073861016,38.46739927995259
DAVIS/val/judo,Middle-4 frames,5,29,174,116,58,31.384058015192274,28.254747443841996,37.64267915789283
DAVIS/val/judo,8-frame interval,8,26,234,182,52,29.484886338143703,27.14825493437395,37.66309625133782
DAVIS/val/kite-surf,Middle-4 frames,5,45,270,180,90,29.032268696167787,25.42267871061812,36.25144866726712
DAVIS/val/kite-surf,8-frame interval,8,42,378,294,84,26.47327162151555,23.682025965837614,36.242631416388335
DAVIS/val/lab-coat,Middle-4 frames,5,42,252,168,84,25.734823426466267,20.77290810024216,35.65865407891448
DAVIS/val/lab-coat,8-frame interval,8,39,351,273,78,22.905461420170464,19.27655349178777,35.60663916950988
DAVIS/val/libby,Middle-4 frames,5,44,264,176,88,27.976585299458613,22.83091984605819,38.26791620625946
DAVIS/val/libby,8-frame interval,8,41,369,287,82,25.027975517685935,21.253348517210103,38.23917001935135
DAVIS/val/loading,Middle-4 frames,5,45,270,180,90,25.627534167984088,21.542814598239826,33.79697330747261
DAVIS/val/loading,8-frame interval,8,42,378,294,84,22.671976377264983,19.483724149682992,33.83085917380196
DAVIS/val/mbike-trick,Middle-4 frames,5,74,444,296,148,29.122993138604517,25.68128248174756,36.006414452318445
DAVIS/val/mbike-trick,8-frame interval,8,71,639,497,142,27.246507131361923,24.749975968428405,35.98436620162923
DAVIS/val/motocross-jump,Middle-4 frames,5,35,210,140,70,24.9954082598989,18.18173055806629,38.622763663564115
DAVIS/val/motocross-jump,8-frame interval,8,32,288,224,64,21.155733978186795,16.2355340309285,38.37643379359082
DAVIS/val/paragliding-launch,Middle-4 frames,5,75,450,300,150,30.227481342867755,27.1512166257804,36.380010777042465
DAVIS/val/paragliding-launch,8-frame interval,8,72,648,504,144,28.076264538249212,25.694094780005454,36.413858692102366
DAVIS/val/parkour,Middle-4 frames,5,95,570,380,190,25.632475381525825,21.468810838328224,33.959804467921025
DAVIS/val/parkour,8-frame interval,8,92,828,644,184,23.228287717039347,20.158017108398962,33.97423484728069
DAVIS/val/pigs,Middle-4 frames,5,74,444,296,148,30.871438237977117,27.833239135438674,36.947836443054
DAVIS/val/pigs,8-frame interval,8,71,639,497,142,28.703770003733965,26.343832483791108,36.96355132353396
