sample,codec,bits,frame_count,gaussians_per_anchor,values_per_anchor,payload_mib_no_metadata,payload_mib_with_fp16_min_scale,psnr_512_avg,psnr_512_min,psnr_256_avg,psnr_256_min
DAVIS/val/bmx-trees,float16,16,80,36864,479232,0.9140625,0.9141120910644531,30.656413272594556,25.90232824974915,34.87335535900185,31.993435771634452
DAVIS/val/bmx-trees,q6,6,80,36864,479232,0.3427734375,0.3428230285644531,16.39984514403816,14.717496473897832,17.026214156884013,15.503965331800089
DAVIS/val/bmx-trees,q8,8,80,36864,479232,0.45703125,0.4570808410644531,28.078386973548856,24.16790130850625,31.12057325186931,28.500141783301103
DAVIS/val/bmx-trees,q10,10,80,36864,479232,0.5712890625,0.5713386535644531,30.258010301064427,25.687817826322092,34.42339324817609,31.579580237617805
DAVIS/val/bmx-trees,q12,12,80,36864,479232,0.685546875,0.6855964660644531,30.627757480521996,25.888430383141703,34.84178857639646,31.967064275149948
DAVIS/val/bmx-trees,q16,16,80,36864,479232,0.9140625,0.9141120910644531,30.656082714098563,25.902311324896967,34.873071940140385,31.993225353454836
DAVIS/val/car-shadow,float16,16,40,36864,479232,0.9140625,0.9141120910644531,29.90826340640873,29.538677186172166,34.636450604652154,34.20711679652573
DAVIS/val/car-shadow,q6,6,40,36864,479232,0.3427734375,0.3428230285644531,16.232252618769923,15.836308284838857,17.004368695834813,16.631166866172453
DAVIS/val/car-shadow,q8,8,40,36864,479232,0.45703125,0.4570808410644531,26.747252965574102,26.174804398217326,29.992428818868166,29.640965297298642
DAVIS/val/car-shadow,q10,10,40,36864,479232,0.5712890625,0.5713386535644531,29.511563716703904,29.167302840673237,34.08062801759097,33.65699052923549
DAVIS/val/car-shadow,q12,12,40,36864,479232,0.685546875,0.6855964660644531,29.880252155675976,29.51524049250729,34.59757211255234,34.18120349545825
DAVIS/val/car-shadow,q16,16,40,36864,479232,0.9140625,0.9141120910644531,29.90829758795245,29.538501246272084,34.63656048943518,34.206397239975026
DAVIS/val/goat,float16,16,90,36864,479232,0.9140625,0.9141120910644531,27.40747672376202,26.481908953891335,33.22338939444529,32.56469224235133
DAVIS/val/goat,q6,6,90,36864,479232,0.3427734375,0.3428230285644531,17.18286325357628,16.852193201897457,18.16619570016399,17.88923142969164
DAVIS/val/goat,q8,8,90,36864,479232,0.45703125,0.4570808410644531,25.05004553266235,24.34770855062905,28.84544270306663,28.32406052027789
DAVIS/val/goat,q10,10,90,36864,479232,0.5712890625,0.5713386535644531,27.076189937194158,26.214322148917407,32.68670256232457,32.11229612537845
DAVIS/val/goat,q12,12,90,36864,479232,0.685546875,0.6855964660644531,27.384890736298313,26.45973092525388,33.18735015742194,32.533202285011924
DAVIS/val/goat,q16,16,90,36864,479232,0.9140625,0.9141120910644531,27.40733601409044,26.481674616629057,33.223327970749594,32.56515904429593
DAVIS/val/soapbox,float16,16,99,36864,479232,0.9140625,0.9141120910644531,31.037566713622628,29.094040831473063,35.81949950344608,34.982755360618086
DAVIS/val/soapbox,q6,6,99,36864,479232,0.3427734375,0.3428230285644531,17.517872411000035,16.643822561522448,18.22579615065582,17.32348372767117
DAVIS/val/soapbox,q8,8,99,36864,479232,0.45703125,0.4570808410644531,28.14363498473552,27.02648534824124,31.389277662707673,30.625862650148754
DAVIS/val/soapbox,q10,10,99,36864,479232,0.5712890625,0.5713386535644531,30.63231969771977,28.836788661639893,35.26877474521531,34.46981470936524
DAVIS/val/soapbox,q12,12,99,36864,479232,0.685546875,0.6855964660644531,31.007719432459897,29.06851086050149,35.77897105957837,34.93479730061484
DAVIS/val/soapbox,q16,16,99,36864,479232,0.9140625,0.9141120910644531,31.03729400359565,29.09393289980491,35.819219438045955,34.98231347396579
