codec,bits,frame_gap,method,mean_all_psnr,mean_middle_psnr,mean_given_psnr,mean_all_ssim,mean_middle_ssim,mean_given_ssim
q8,8,4,linear,20.110768144827567,17.61796945986582,27.02327983720894,0.42520256422484193,0.28549583368741355,0.8124504547333242
q8,8,4,adapter,20.57270098931695,18.247303018014392,27.02327983720894,0.4652327264879128,0.3400126512801981,0.8124504547333242
q8,8,8,linear,18.013422943966617,16.523376394314827,27.01806414475214,0.32703960830387946,0.2467705018908851,0.8113074963802518
q8,8,8,adapter,18.480296729121694,17.068303922946175,27.01806414475214,0.37206621523524563,0.29929147431397923,0.8113074963802518
q8,8,16,linear,16.465876780833767,15.543417464574004,26.997379801213054,0.2669392305284642,0.21980678641478216,0.8090002696566763
q8,8,16,adapter,16.865547380070296,15.978911066116073,26.997379801213054,0.31162646714248315,0.2685302345393922,0.8090002696566763
q10,10,4,linear,20.750844388443603,17.656157407040766,29.327984245556006,0.4577929596733121,0.3025165095959531,0.8881304865549746
q10,10,4,adapter,21.191095902140322,18.25601918552348,29.327984245556006,0.48816553339313923,0.3438489828305334,0.8881304865549746
q10,10,8,linear,18.356024730400843,16.54012288287085,29.320664241574747,0.35021737508451667,0.26115642103439674,0.8874225339401428
q10,10,8,adapter,18.809757721047486,17.06974217895638,29.320664241574747,0.38545814231279213,0.30224306984272914,0.8874225339401428
q10,10,16,linear,16.66055626234757,15.548468186693983,29.328475996349997,0.28445817858077177,0.2321309143887444,0.8856928904504525
q10,10,16,adapter,17.052739413791674,15.97580514912888,29.328475996349997,0.3198762793322983,0.27069685755932804,0.8856928904504525
q12,12,4,linear,20.84685363395712,17.660375119349375,29.678129037019875,0.4621698668521971,0.3045542380277363,0.8989794133573521
q12,12,4,adapter,21.284133638556813,18.256196169477683,29.678129037019875,0.49113690315423275,0.3439685700293842,0.8989794133573521
q12,12,8,linear,18.407949259402884,16.542993366151862,29.668274733935373,0.3533157564000404,0.26300233688158753,0.8980718475459785
q12,12,8,adapter,18.85917872255155,17.06969395261803,29.668274733935373,0.3870577344182626,0.3023383578550884,0.8980718475459785
q12,12,16,linear,16.690736197815284,15.550309668632122,29.679767860200425,0.28688220238512,0.23382548788982163,0.8964221971079369
q12,12,16,adapter,17.081329746423872,15.975915248513115,29.679767860200425,0.3208159158144954,0.2707666481717574,0.8964221971079369
