codec,bits,frame_gap,method,mean_static_anchor_mib_per_frame_with_metadata
q8,8,4,linear,0.12129653387470925
q8,8,4,adapter,0.12129653387470925
q8,8,8,linear,0.06508594500594155
q8,8,8,adapter,0.06508594500594155
q8,8,16,linear,0.036980650571557694
q8,8,16,adapter,0.036980650571557694
q10,10,4,linear,0.1516173773213112
q10,10,4,adapter,0.1516173773213112
q10,10,8,linear,0.08135566587972795
q10,10,8,adapter,0.08135566587972795
q10,10,16,linear,0.046224810158936334
q10,10,16,adapter,0.046224810158936334
q12,12,4,linear,0.18193822076791313
q12,12,4,adapter,0.18193822076791313
q12,12,8,linear,0.09762538675351436
q12,12,8,adapter,0.09762538675351436
q12,12,16,linear,0.055468969746314975
q12,12,16,adapter,0.055468969746314975
