reference_setting,reference_local_gap,reference_middle_psnr,reference_all_psnr,reference_given_psnr,anchor_codec,anchor_gap,anchor_method,anchor_rate_mib_per_frame,anchor_all_psnr,anchor_middle_psnr,anchor_given_psnr,middle_psnr_gap_to_reference,comparison_note
Middle-4 frames,5,23.004337221027775,26.994540075591946,34.97494578472027,q8,4,linear,0.12129653387470925,20.110768144827567,17.61796945986582,27.02327983720894,-5.3863677611619565,"diagnostic: Stage77 gap4 has 3 middle frames, Stage75 gap5 is paper Middle-4"
Middle-4 frames,5,23.004337221027775,26.994540075591946,34.97494578472027,q8,4,adapter,0.12129653387470925,20.57270098931695,18.247303018014392,27.02327983720894,-4.757034203013383,"diagnostic: Stage77 gap4 has 3 middle frames, Stage75 gap5 is paper Middle-4"
8-frame interval,8,21.56004909948801,24.534872014837706,34.94675221856166,q8,8,linear,0.06508594500594155,18.013422943966617,16.523376394314827,27.01806414475214,-5.036672705173181,diagnostic: both are treated as local 8-frame interval references
8-frame interval,8,21.56004909948801,24.534872014837706,34.94675221856166,q8,8,adapter,0.06508594500594155,18.480296729121694,17.068303922946175,27.01806414475214,-4.4917451765418335,diagnostic: both are treated as local 8-frame interval references
Middle-4 frames,5,23.004337221027775,26.994540075591946,34.97494578472027,q10,4,linear,0.1516173773213112,20.750844388443603,17.656157407040766,29.327984245556006,-5.348179813987009,"diagnostic: Stage77 gap4 has 3 middle frames, Stage75 gap5 is paper Middle-4"
Middle-4 frames,5,23.004337221027775,26.994540075591946,34.97494578472027,q10,4,adapter,0.1516173773213112,21.191095902140322,18.25601918552348,29.327984245556006,-4.748318035504294,"diagnostic: Stage77 gap4 has 3 middle frames, Stage75 gap5 is paper Middle-4"
8-frame interval,8,21.56004909948801,24.534872014837706,34.94675221856166,q10,8,linear,0.08135566587972795,18.356024730400843,16.54012288287085,29.320664241574747,-5.019926216617158,diagnostic: both are treated as local 8-frame interval references
8-frame interval,8,21.56004909948801,24.534872014837706,34.94675221856166,q10,8,adapter,0.08135566587972795,18.809757721047486,17.06974217895638,29.320664241574747,-4.49030692053163,diagnostic: both are treated as local 8-frame interval references
Middle-4 frames,5,23.004337221027775,26.994540075591946,34.97494578472027,q12,4,linear,0.18193822076791313,20.84685363395712,17.660375119349375,29.678129037019875,-5.3439621016784,"diagnostic: Stage77 gap4 has 3 middle frames, Stage75 gap5 is paper Middle-4"
Middle-4 frames,5,23.004337221027775,26.994540075591946,34.97494578472027,q12,4,adapter,0.18193822076791313,21.284133638556813,18.256196169477683,29.678129037019875,-4.748141051550093,"diagnostic: Stage77 gap4 has 3 middle frames, Stage75 gap5 is paper Middle-4"
8-frame interval,8,21.56004909948801,24.534872014837706,34.94675221856166,q12,8,linear,0.09762538675351436,18.407949259402884,16.542993366151862,29.668274733935373,-5.0170557333361465,diagnostic: both are treated as local 8-frame interval references
8-frame interval,8,21.56004909948801,24.534872014837706,34.94675221856166,q12,8,adapter,0.09762538675351436,18.85917872255155,17.06969395261803,29.668274733935373,-4.490355146869977,diagnostic: both are treated as local 8-frame interval references
