dataset,split,sequence,total_frames,contiguous,first_index,last_index,gap1_pair_count
DAVIS,train,bear,82,True,0,81,81
DAVIS,train,bmx-bumps,90,True,0,89,89
DAVIS,train,boat,75,True,0,74,74
DAVIS,train,boxing-fisheye,87,True,0,86,86
DAVIS,train,breakdance-flare,71,True,0,70,70
DAVIS,train,bus,80,True,0,79,79
DAVIS,train,car-turn,80,True,0,79,79
DAVIS,train,cat-girl,89,True,0,88,88
DAVIS,train,classic-car,63,True,0,62,62
DAVIS,train,color-run,84,True,0,83,83
DAVIS,train,crossing,52,True,0,51,51
DAVIS,train,dance-jump,60,True,0,59,59
DAVIS,train,dancing,62,True,0,61,61
DAVIS,train,disc-jockey,76,True,0,75,75
DAVIS,train,dog-agility,25,True,0,24,24
DAVIS,train,dog-gooses,86,True,0,85,85
DAVIS,train,dogs-scale,83,True,0,82,82
DAVIS,train,drift-turn,64,True,0,63,63
DAVIS,train,drone,91,True,0,90,90
DAVIS,train,elephant,80,True,0,79,79
DAVIS,train,flamingo,80,True,0,79,79
DAVIS,train,hike,80,True,0,79,79
DAVIS,train,hockey,75,True,0,74,74
DAVIS,train,horsejump-low,60,True,0,59,59
DAVIS,train,kid-football,68,True,0,67,67
DAVIS,train,kite-walk,80,True,0,79,79
DAVIS,train,koala,100,True,0,99,99
DAVIS,train,lady-running,65,True,0,64,64
DAVIS,train,lindy-hop,73,True,0,72,72
DAVIS,train,longboard,52,True,0,51,51
DAVIS,train,lucia,70,True,0,69,69
DAVIS,train,mallard-fly,70,True,0,69,69
DAVIS,train,mallard-water,80,True,0,79,79
DAVIS,train,miami-surf,70,True,0,69,69
DAVIS,train,motocross-bumps,60,True,0,59,59
DAVIS,train,motorbike,43,True,0,42,42
DAVIS,train,night-race,46,True,0,45,45
DAVIS,train,paragliding,70,True,0,69,69
DAVIS,train,planes-water,38,True,0,37,37
DAVIS,train,rallye,50,True,0,49,49
DAVIS,train,rhino,90,True,0,89,89
DAVIS,train,rollerblade,35,True,0,34,34
DAVIS,train,schoolgirls,80,True,0,79,79
DAVIS,train,scooter-board,91,True,0,90,90
DAVIS,train,scooter-gray,75,True,0,74,74
DAVIS,train,sheep,68,True,0,67,67
DAVIS,train,skate-park,80,True,0,79,79
DAVIS,train,snowboard,66,True,0,65,65
DAVIS,train,soccerball,48,True,0,47,47
DAVIS,train,stroller,91,True,0,90,90
DAVIS,train,stunt,71,True,0,70,70
DAVIS,train,surf,55,True,0,54,54
DAVIS,train,swing,60,True,0,59,59
DAVIS,train,tennis,70,True,0,69,69
DAVIS,train,tractor-sand,76,True,0,75,75
DAVIS,train,train,80,True,0,79,79
DAVIS,train,tuk-tuk,59,True,0,58,58
DAVIS,train,upside-down,65,True,0,64,64
DAVIS,train,varanus-cage,67,True,0,66,66
DAVIS,train,walking,72,True,0,71,71
DAVIS,val,bike-packing,69,True,0,68,68
DAVIS,val,blackswan,50,True,0,49,49
DAVIS,val,bmx-trees,80,True,0,79,79
DAVIS,val,breakdance,84,True,0,83,83
DAVIS,val,camel,90,True,0,89,89
DAVIS,val,car-roundabout,75,True,0,74,74
DAVIS,val,car-shadow,40,True,0,39,39
DAVIS,val,cows,104,True,0,103,103
DAVIS,val,dance-twirl,90,True,0,89,89
DAVIS,val,dog,60,True,0,59,59
DAVIS,val,dogs-jump,66,True,0,65,65
DAVIS,val,drift-chicane,52,True,0,51,51
DAVIS,val,drift-straight,50,True,0,49,49
DAVIS,val,goat,90,True,0,89,89
DAVIS,val,gold-fish,78,True,0,77,77
DAVIS,val,horsejump-high,50,True,0,49,49
DAVIS,val,india,81,True,0,80,80
DAVIS,val,judo,34,True,0,33,33
DAVIS,val,kite-surf,50,True,0,49,49
DAVIS,val,lab-coat,47,True,0,46,46
DAVIS,val,libby,49,True,0,48,48
DAVIS,val,loading,50,True,0,49,49
DAVIS,val,mbike-trick,79,True,0,78,78
DAVIS,val,motocross-jump,40,True,0,39,39
DAVIS,val,paragliding-launch,80,True,0,79,79
DAVIS,val,parkour,100,True,0,99,99
DAVIS,val,pigs,79,True,0,78,78
DAVIS,val,scooter-black,43,True,0,42,42
DAVIS,val,shooting,40,True,0,39,39
DAVIS,val,soapbox,99,True,0,98,98
