task_split,codec,bits,reference_gap,sequence_count,task_count,mean_tasks_per_sequence
eval,q10,10,4,30,1463,48.766666666666666
eval,q10,10,8,30,1707,56.9
eval,q10,10,16,30,1830,61.0
eval,q12,12,4,30,1463,48.766666666666666
eval,q12,12,8,30,1707,56.9
eval,q12,12,16,30,1830,61.0
train,q10,10,4,60,3087,51.45
train,q10,10,8,60,3604,60.06666666666667
train,q10,10,16,60,3863,64.38333333333334
train,q12,12,4,60,3087,51.45
train,q12,12,8,60,3604,60.06666666666667
train,q12,12,16,60,3863,64.38333333333334
