dataset,root,exists,streamsplatable,train_sequences,val_sequences,image_root,mask_root,depth_root,sequence_count_detected,frame_count_detected,depth_count_detected,notes
DAVIS,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
DAVIS,/mnt/hdd2tC/tmp/opencode/datasets/davis,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
DAVIS,/mnt/hdd2tC/tmp/opencode/DAVIS,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
DAVIS,/mnt/hdd2tC/datasets/DAVIS,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
DAVIS,/mnt/hdd2tC/datasets/davis,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
DAVIS,/mnt/hdd2tC/haocheng/datasets/DAVIS,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
DAVIS,/mnt/hdd2tC/haocheng/datasets/davis,False,False,0,0,,,,0,0,0,"Expected by provider_davis: ImageSets/2017/*.txt, JPEGImages/Full-Resolution, Annotations_unsupervised/Full-Resolution, depthImages generated by preprocessing."
YouTube-VOS,/mnt/hdd2tC/tmp/opencode/datasets/YouTube-VOS,False,False,0,0,,,,0,0,0,Expected by provider_vos: train/valid JPEGImages and train Annotations; depthImages generated by preprocessing.
YouTube-VOS,/mnt/hdd2tC/tmp/opencode/datasets/youtube_vos,False,False,0,0,,,,0,0,0,Expected by provider_vos: train/valid JPEGImages and train Annotations; depthImages generated by preprocessing.
YouTube-VOS,/mnt/hdd2tC/tmp/opencode/YouTube-VOS,False,False,0,0,,,,0,0,0,Expected by provider_vos: train/valid JPEGImages and train Annotations; depthImages generated by preprocessing.
YouTube-VOS,/mnt/hdd2tC/datasets/YouTube-VOS,False,False,0,0,,,,0,0,0,Expected by provider_vos: train/valid JPEGImages and train Annotations; depthImages generated by preprocessing.
YouTube-VOS,/mnt/hdd2tC/haocheng/datasets/YouTube-VOS,False,False,0,0,,,,0,0,0,Expected by provider_vos: train/valid JPEGImages and train Annotations; depthImages generated by preprocessing.
RE10K,/mnt/hdd2tC/tmp/opencode/datasets/RealEstate10K,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
RE10K,/mnt/hdd2tC/tmp/opencode/datasets/re10k,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
RE10K,/mnt/hdd2tC/datasets/RealEstate10K,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
RE10K,/mnt/hdd2tC/haocheng/datasets/RealEstate10K,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
CO3D,/mnt/hdd2tC/tmp/opencode/datasets/CO3D,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
CO3D,/mnt/hdd2tC/tmp/opencode/datasets/co3d,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
CO3D,/mnt/hdd2tC/datasets/CO3D,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
CO3D,/mnt/hdd2tC/haocheng/datasets/CO3D,False,False,,,,,,,,,Candidate root for StreamSplat static training data; detailed inventory requires dataset-specific parser.
