step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_psnr
1,stage79_00008057,hike,q12,4,26,0.5,0.010762084275484085,19.681036114128855
2,stage79_00017877,stunt,q10,16,43,0.6875,0.021712815389037132,16.632838601637886
3,stage79_00003181,cat-girl,q12,8,58,0.25,0.03874381259083748,14.117976446987148
4,stage79_00016079,sheep,q10,16,19,0.1875,0.009451582096517086,20.244954890274933
5,stage79_00003118,cat-girl,q12,4,71,0.75,0.023737188428640366,16.24570722712441
6,stage79_00003234,cat-girl,q12,16,28,0.75,0.06152471527457237,12.10950387458044
7,stage79_00011690,mallard-fly,q12,4,63,0.75,0.013099496252834797,18.827454050175646
8,stage79_00015580,scooter-gray,q10,4,3,0.75,0.03242213651537895,14.891583699234431
9,stage79_00019237,tractor-sand,q12,4,57,0.25,0.0034056659787893295,24.677979490575574
10,stage79_00000008,bear,q10,4,11,0.75,0.007308491040021181,21.36172281132396
11,stage79_00002365,bus,q12,16,4,0.25,0.016757333651185036,17.757950831221216
12,stage79_00020600,varanus-cage,q12,4,29,0.25,0.010309846140444279,19.86747815885701
13,stage79_00006414,drift-turn,q12,4,7,0.75,0.013016191311180592,18.85516076790661
14,stage79_00004090,crossing,q10,8,28,0.5,0.01181014347821474,19.277448262291244
15,stage79_00016447,skate-park,q10,16,27,0.6875,0.018378928303718567,17.356798164184042
16,stage79_00002077,bus,q10,4,61,0.25,0.012440623715519905,19.05157845576212
17,stage79_00007965,hike,q10,16,2,0.125,0.009963957592844963,20.015681295129518
18,stage79_00010828,lindy-hop,q12,16,38,0.375,0.0387548953294754,14.116734317306074
19,stage79_00005683,dog-gooses,q12,8,5,0.625,0.014245374128222466,18.46326140338939
20,stage79_00004329,dance-jump,q10,4,58,0.6666666666666666,0.007149187382310629,21.457433197981956
21,stage79_00011080,longboard,q12,16,10,0.625,0.046561554074287415,13.319725327691657
22,stage79_00009417,kite-walk,q10,16,36,0.25,0.006458553951233625,21.898647082122444
23,stage79_00011385,lucia,q12,8,47,0.875,0.011419069021940231,19.423693019671763
24,stage79_00017128,soccerball,q10,16,28,0.75,0.0124228335916996,19.05779332268956
25,stage79_00012025,mallard-water,q12,4,7,0.75,0.012949956580996513,18.87731687695875
26,stage79_00010952,longboard,q10,16,11,0.6875,0.04852258414030075,13.140560782096633
27,stage79_00017753,stunt,q10,4,39,0.75,0.009343914687633514,20.29471135434923
28,stage79_00017967,stunt,q12,8,15,0.875,0.0090565150603652,20.430388863420266
29,stage79_00013475,paragliding,q10,16,56,0.5,0.006171733140945435,22.09592860625805
30,stage79_00009966,koala,q12,4,73,0.25,0.003964991308748722,24.01757760317779
31,stage79_00013957,rallye,q10,16,34,0.125,0.015943743288517,17.97409706861385
32,stage79_00020208,upside-down,q10,16,22,0.375,0.07420501112937927,11.295667654439924
33,stage79_00001191,boat,q12,16,24,0.5,0.005520499311387539,22.580216399567696
34,stage79_00018260,surf,q12,8,4,0.5,0.00970790907740593,20.12874299847911
35,stage79_00005937,dogs-scale,q10,8,51,0.375,0.022333109751343727,16.510507998207935
36,stage79_00019926,tuk-tuk,q10,16,46,0.875,0.03364850953221321,14.730341681791197
37,stage79_00010417,lady-running,q12,8,47,0.875,0.01824946142733097,17.38749947787759
38,stage79_00016775,snowboard,q10,8,34,0.25,0.04103531688451767,13.868422085020715
39,stage79_00010354,lady-running,q12,4,35,0.75,0.014885585755109787,18.272340709798584
40,stage79_00015469,scooter-board,q12,8,61,0.625,0.07498607784509659,11.250193616257015
41,stage79_00000974,boat,q10,8,66,0.25,0.0024398129899054766,26.126434607779366
42,stage79_00014211,rhino,q10,8,59,0.375,0.011115591041743755,19.54067439906649
43,stage79_00000365,bear,q12,16,33,0.0625,0.005308221559971571,22.750509584027554
44,stage79_00016627,skate-park,q12,16,4,0.25,0.028809240087866783,15.404681971169754
45,stage79_00004917,disc-jockey,q10,4,29,0.25,0.0043893842957913876,23.575963944944284
46,stage79_00017942,stunt,q12,4,54,0.5,0.010294092819094658,19.87411920150461
47,stage79_00011854,mallard-water,q10,4,49,0.25,0.024026980623602867,16.1930080185101
48,stage79_00019000,tennis,q12,16,65,0.2,0.008539539761841297,20.68565534964253
