step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
1,stage79_00011854,mallard-water,q10,4,49,0.25,0.02399928867816925,3.0,0.07199786603450775,16.198016302768956
2,stage79_00006653,drone,q10,8,19,0.375,0.04279816523194313,1.0,0.04279816523194313,13.685748489009066
3,stage79_00008057,hike,q12,4,26,0.5,0.010790137574076653,3.0,0.03237041085958481,19.669730180342857
4,stage79_00000263,bear,q12,4,78,0.5,0.009031749330461025,3.0,0.0270952470600605,20.442281244387427
5,stage79_00013475,paragliding,q10,16,56,0.5,0.006305617280304432,1.0,0.006305617280304432,22.002723923093246
6,stage79_00010891,longboard,q10,4,42,0.5,0.017933499068021774,3.0,0.05380049720406532,17.463349654476197
7,stage79_00010952,longboard,q10,16,11,0.6875,0.05013298988342285,1.0,0.05013298988342285,12.998763937082916
8,stage79_00002077,bus,q10,4,61,0.25,0.01251413207501173,3.0,0.037542395293712616,19.02599265760439
9,stage79_00003234,cat-girl,q12,16,28,0.75,0.06168995052576065,1.0,0.06168995052576065,12.097855780523048
10,stage79_00000365,bear,q12,16,33,0.0625,0.005854438990354538,1.0,0.005854438990354538,22.325147154621007
11,stage79_00004370,dance-jump,q10,8,46,0.75,0.0077957515604794025,1.0,0.0077957515604794025,21.08142009681675
12,stage79_00012676,motocross-bumps,q10,16,10,0.625,0.006975289899855852,1.0,0.006975289899855852,21.564377379767503
13,stage79_00011385,lucia,q12,8,47,0.875,0.01158282533288002,1.0,0.01158282533288002,19.361854926969798
14,stage79_00010828,lindy-hop,q12,16,38,0.375,0.03901216387748718,1.0,0.03901216387748718,14.087999601217128
15,stage79_00013957,rallye,q10,16,34,0.125,0.01622426137328148,1.0,0.01622426137328148,17.898350657947667
16,stage79_00007965,hike,q10,16,2,0.125,0.010084790177643299,1.0,0.010084790177643299,19.963331332112205
17,stage79_00020305,upside-down,q12,8,11,0.375,0.05391402915120125,1.0,0.05391402915120125,12.68298210876862
18,stage79_00009576,kite-walk,q12,8,68,0.5,0.008156067691743374,1.0,0.008156067691743374,20.885191784274163
19,stage79_00015580,scooter-gray,q10,4,3,0.75,0.032080672681331635,3.0,0.0962420180439949,14.937565338190614
20,stage79_00016627,skate-park,q12,16,4,0.25,0.028683478012681007,1.0,0.028683478012681007,15.423681894709397
21,stage79_00000008,bear,q10,4,11,0.75,0.007285784929990768,3.0,0.021857354789972305,21.375236528987717
22,stage79_00010525,lindy-hop,q10,4,45,0.25,0.015848221257328987,3.0,0.04754466563463211,18.00019474233373
23,stage79_00006561,drift-turn,q12,16,54,0.4,0.05633694306015968,1.0,0.05633694306015968,12.492067222796521
24,stage79_00003118,cat-girl,q12,4,71,0.75,0.02373524382710457,3.0,0.071205735206604,16.246063025079913
25,stage79_00019000,tennis,q12,16,65,0.2,0.00854191742837429,1.0,0.00854191742837429,20.684446310565527
26,stage79_00018260,surf,q12,8,4,0.5,0.009733117185533047,1.0,0.009733117185533047,20.11748047741031
27,stage79_00019926,tuk-tuk,q10,16,46,0.875,0.03348539397120476,1.0,0.03348539397120476,14.751445870215536
28,stage79_00012025,mallard-water,q12,4,7,0.75,0.013045783154666424,3.0,0.0391373485326767,18.84529844540687
29,stage79_00017877,stunt,q10,16,43,0.6875,0.02181021310389042,1.0,0.02181021310389042,16.613400909828982
30,stage79_00018881,tennis,q12,8,2,0.25,0.010008273646235466,1.0,0.010008273646235466,19.996408286718168
31,stage79_00020743,varanus-cage,q12,16,62,0.875,0.012272907420992851,1.0,0.012272907420992851,19.110525418109372
32,stage79_00010354,lady-running,q12,4,35,0.75,0.014791643247008324,3.0,0.04437492787837982,18.299835762758768
33,stage79_00003181,cat-girl,q12,8,58,0.25,0.03777356445789337,1.0,0.03777356445789337,14.228120315517966
34,stage79_00012911,motorbike,q10,8,10,0.25,0.014357795007526875,1.0,0.014357795007526875,18.42912251569533
35,stage79_00007473,flamingo,q10,4,55,0.75,0.005876284092664719,3.0,0.017628852277994156,22.308972161332875
36,stage79_00016386,skate-park,q10,8,38,0.75,0.007671221625059843,1.0,0.007671221625059843,21.151354701088884
37,stage79_00015139,scooter-board,q10,4,26,0.5,0.04553873464465141,3.0,0.13661620020866394,13.416190410129332
