method,codec,reference_gap,side_bits,keep_fraction,task_count,mean_side_info_mib_per_intermediate_frame,mean_baseline_anchor_mse,mean_residual_anchor_mse_after_sideinfo,mean_captured_energy_fraction,mean_residual_mse_reduction_fraction
linear,q10,4,6,0.0,12,0.0,0.006020921985605505,0.006020921985605505,0.0,0.0
linear,q10,4,6,0.01,12,0.0041348934173583984,0.006020921985605505,0.005123477307097863,0.18050415935186936,0.1805041593518694
linear,q10,4,6,0.05,12,0.020652055740356445,0.006020921985605505,0.0034376019850755352,0.47872915192208615,0.4787291519220862
linear,q10,4,6,0.1,12,0.04130411148071289,0.006020921985605505,0.0023351908950639245,0.6545081021486225,0.6545081021486227
linear,q10,4,6,0.25,12,0.103271484375,0.006020921985605505,0.0009221829038824451,0.8660727743574937,0.8660727743574937
linear,q10,4,6,1.0,12,0.4130859375,0.006020921985605505,4.245345069472267e-11,0.9999999947236612,0.9999999947236612
linear,q10,4,8,0.0,12,0.0,0.006020921985605505,0.006020921985605505,0.0,0.0
linear,q10,4,8,0.01,12,0.005278587341308594,0.006020921985605505,0.005123477307097863,0.18050415935186936,0.1805041593518694
linear,q10,4,8,0.05,12,0.02636432647705078,0.006020921985605505,0.0034376019850755352,0.47872915192208615,0.4787291519220862
linear,q10,4,8,0.1,12,0.05272865295410156,0.006020921985605505,0.0023351908950639245,0.6545081021486225,0.6545081021486227
linear,q10,4,8,0.25,12,0.1318359375,0.006020921985605505,0.0009221829038824451,0.8660727743574937,0.8660727743574937
linear,q10,4,8,1.0,12,0.52734375,0.006020921985605505,4.245345069472267e-11,0.9999999947236612,0.9999999947236612
linear,q10,8,6,0.0,11,0.0,0.008960285687872672,0.008960285687872672,0.0,0.0
linear,q10,8,6,0.01,11,0.0041348934173583984,0.008960285687872672,0.007844364474633913,0.1465977041630255,0.14659770416302545
linear,q10,8,6,0.05,11,0.020652055740356445,0.008960285687872672,0.005341701342694595,0.43885194302103586,0.43885194302103586
linear,q10,8,6,0.1,11,0.04130411148071289,0.008960285687872672,0.003692460238424122,0.6190989771698686,0.6190989771698686
linear,q10,8,6,0.25,11,0.103271484375,0.008960285687872672,0.001438480759185696,0.8529020205784086,0.8529020205784086
linear,q10,8,6,1.0,11,0.4130859375,0.008960285687872672,2.1998606269083565e-10,0.9999999687667288,0.9999999687667288
linear,q10,8,8,0.0,11,0.0,0.008960285687872672,0.008960285687872672,0.0,0.0
linear,q10,8,8,0.01,11,0.005278587341308594,0.008960285687872672,0.007844364474633913,0.1465977041630255,0.14659770416302545
linear,q10,8,8,0.05,11,0.02636432647705078,0.008960285687872672,0.005341701342694595,0.43885194302103586,0.43885194302103586
linear,q10,8,8,0.1,11,0.05272865295410156,0.008960285687872672,0.003692460238424122,0.6190989771698686,0.6190989771698686
linear,q10,8,8,0.25,11,0.1318359375,0.008960285687872672,0.001438480759185696,0.8529020205784086,0.8529020205784086
linear,q10,8,8,1.0,11,0.52734375,0.008960285687872672,2.1998606269083565e-10,0.9999999687667288,0.9999999687667288
linear,q10,16,6,0.0,7,0.0,0.010531121603371314,0.010531121603371314,0.0,0.0
linear,q10,16,6,0.01,7,0.0041348934173583984,0.010531121603371314,0.009488646334471575,0.2557636497116749,0.255763649711675
linear,q10,16,6,0.05,7,0.020652055740356445,0.010531121603371314,0.007141776637643831,0.4998584000142297,0.49985840001422976
linear,q10,16,6,0.1,7,0.04130411148071289,0.010531121603371314,0.005285481147932045,0.6427535735595866,0.6427535735595866
linear,q10,16,6,0.25,7,0.103271484375,0.010531121603371314,0.002346182608196878,0.8492711155360284,0.8492711155360284
linear,q10,16,6,1.0,7,0.4130859375,0.010531121603371314,2.9110937619238406e-10,0.9999999861362632,0.9999999861362632
linear,q10,16,8,0.0,7,0.0,0.010531121603371314,0.010531121603371314,0.0,0.0
linear,q10,16,8,0.01,7,0.005278587341308594,0.010531121603371314,0.009488646334471575,0.2557636497116749,0.255763649711675
linear,q10,16,8,0.05,7,0.02636432647705078,0.010531121603371314,0.007141776637643831,0.4998584000142297,0.49985840001422976
linear,q10,16,8,0.1,7,0.05272865295410156,0.010531121603371314,0.005285481147932045,0.6427535735595866,0.6427535735595866
linear,q10,16,8,0.25,7,0.1318359375,0.010531121603371314,0.002346182608196878,0.8492711155360284,0.8492711155360284
linear,q10,16,8,1.0,7,0.52734375,0.010531121603371314,2.9110937619238406e-10,0.9999999861362632,0.9999999861362632
linear,q12,4,6,0.0,9,0.0,0.007101530051752147,0.007101530051752147,0.0,0.0
linear,q12,4,6,0.01,9,0.0041348934173583984,0.007101530051752147,0.006007131581802314,0.17859884732515033,0.17859884732515027
linear,q12,4,6,0.05,9,0.020652055740356445,0.007101530051752147,0.003886368242424098,0.49423215597371606,0.49423215597371606
linear,q12,4,6,0.1,9,0.04130411148071289,0.007101530051752147,0.00259832920398694,0.6736598664316831,0.6736598664316831
linear,q12,4,6,0.25,9,0.103271484375,0.007101530051752147,0.0010288615002591384,0.8786127617934746,0.8786127617934746
linear,q12,4,6,1.0,9,0.4130859375,0.007101530051752147,1.6981380277889068e-10,0.999999993351169,0.9999999790724939
