task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,keep_gaussians,side_bits,side_info_mib_per_intermediate_frame,base_psnr,sideinfo_psnr,delta_psnr_vs_base
stage79_00021399,bike-packing,q12,16,9,linear,0.0,0,8,0.0,18.747158126257794,18.747158126257794,0.0
stage79_00021399,bike-packing,q12,16,9,linear,0.1,3686,8,0.05272865295410156,18.747158126257794,23.69638681535224,4.949228689094447
stage79_00021399,bike-packing,q12,16,9,linear,0.25,9216,8,0.1318359375,18.747158126257794,25.865205383645336,7.118047257387541
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.0,0,8,0.0,18.71832432848013,18.71832432848013,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.1,3686,8,0.05272865295410156,18.71832432848013,22.362229497224067,3.643905168743938
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.25,9216,8,0.1318359375,18.71832432848013,23.705281372108757,4.986957043628628
stage79_00028818,motocross-jump,q12,4,31,linear,0.0,0,8,0.0,18.25988997574939,18.25988997574939,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,0.1,3686,8,0.05272865295410156,18.25988997574939,23.012061870314838,4.752171894565446
stage79_00028818,motocross-jump,q12,4,31,linear,0.25,9216,8,0.1318359375,18.25988997574939,26.545491972596302,8.28560199684691
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.0,0,8,0.0,18.284350936750318,18.284350936750318,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.1,3686,8,0.05272865295410156,18.284350936750318,22.79728736956386,4.512936432813543
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.25,9216,8,0.1318359375,18.284350936750318,25.51902648108189,7.234675544331573
stage79_00027028,india,q12,8,13,linear,0.0,0,8,0.0,19.06758882783345,19.06758882783345,0.0
stage79_00027028,india,q12,8,13,linear,0.1,3686,8,0.05272865295410156,19.06758882783345,23.612963287270823,4.545374459437372
stage79_00027028,india,q12,8,13,linear,0.25,9216,8,0.1318359375,19.06758882783345,27.753050810926506,8.685461983093056
stage79_00027028,india,q12,8,13,stage65_adapter,0.0,0,8,0.0,19.790705687000365,19.790705687000365,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,0.1,3686,8,0.05272865295410156,19.790705687000365,23.82831910360412,4.0376134166037545
stage79_00027028,india,q12,8,13,stage65_adapter,0.25,9216,8,0.1318359375,19.790705687000365,26.792113772583193,7.001408085582828
stage79_00021366,bike-packing,q12,8,39,linear,0.0,0,8,0.0,18.24650828541061,18.24650828541061,0.0
stage79_00021366,bike-packing,q12,8,39,linear,0.1,3686,8,0.05272865295410156,18.24650828541061,21.512369381118233,3.265861095707624
stage79_00021366,bike-packing,q12,8,39,linear,0.25,9216,8,0.1318359375,18.24650828541061,23.603183107880135,5.356674822469525
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.0,0,8,0.0,19.59357702158396,19.59357702158396,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.1,3686,8,0.05272865295410156,19.59357702158396,21.709607887478235,2.116030865894274
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.25,9216,8,0.1318359375,19.59357702158396,22.909870265548253,3.3162932439642923
stage79_00024828,dog,q12,16,57,linear,0.0,0,8,0.0,17.942222663262687,17.942222663262687,0.0
stage79_00024828,dog,q12,16,57,linear,0.1,3686,8,0.05272865295410156,17.942222663262687,20.852741399805584,2.9105187365428975
stage79_00024828,dog,q12,16,57,linear,0.25,9216,8,0.1318359375,17.942222663262687,23.71411855741329,5.771895894150603
stage79_00024828,dog,q12,16,57,stage65_adapter,0.0,0,8,0.0,18.453393577997925,18.453393577997925,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,0.1,3686,8,0.05272865295410156,18.453393577997925,21.17765027269968,2.7242566947017544
stage79_00024828,dog,q12,16,57,stage65_adapter,0.25,9216,8,0.1318359375,18.453393577997925,23.848939062149725,5.3955454841518
stage79_00021953,bmx-trees,q12,4,69,linear,0.0,0,8,0.0,18.025474094547945,18.025474094547945,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,0.1,3686,8,0.05272865295410156,18.025474094547945,20.33611759043505,2.3106434958871063
stage79_00021953,bmx-trees,q12,4,69,linear,0.25,9216,8,0.1318359375,18.025474094547945,22.57585080569072,4.550376711142775
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.0,0,8,0.0,18.76259807656818,18.76259807656818,0.0
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.1,3686,8,0.05272865295410156,18.76259807656818,20.62031597627913,1.8577178997109485
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.25,9216,8,0.1318359375,18.76259807656818,22.252205731013234,3.4896076544450523
stage79_00028248,loading,q12,8,43,linear,0.0,0,8,0.0,14.203621355192599,14.203621355192599,0.0
stage79_00028248,loading,q12,8,43,linear,0.1,3686,8,0.05272865295410156,14.203621355192599,17.10260887204238,2.8989875168497825
stage79_00028248,loading,q12,8,43,linear,0.25,9216,8,0.1318359375,14.203621355192599,20.260908552087642,6.057287196895043
stage79_00028248,loading,q12,8,43,stage65_adapter,0.0,0,8,0.0,14.708515181208464,14.708515181208464,0.0
stage79_00028248,loading,q12,8,43,stage65_adapter,0.1,3686,8,0.05272865295410156,14.708515181208464,17.488171879735198,2.7796566985267344
stage79_00028248,loading,q12,8,43,stage65_adapter,0.25,9216,8,0.1318359375,14.708515181208464,20.21687136474452,5.508356183536057
stage79_00022888,camel,q12,8,81,linear,0.0,0,8,0.0,22.489052326242458,22.489052326242458,0.0
stage79_00022888,camel,q12,8,81,linear,0.1,3686,8,0.05272865295410156,22.489052326242458,23.552644841321605,1.0635925150791472
stage79_00022888,camel,q12,8,81,linear,0.25,9216,8,0.1318359375,22.489052326242458,24.363305159080664,1.8742528328382058
stage79_00022888,camel,q12,8,81,stage65_adapter,0.0,0,8,0.0,21.59513563488174,21.59513563488174,0.0
stage79_00022888,camel,q12,8,81,stage65_adapter,0.1,3686,8,0.05272865295410156,21.59513563488174,22.329675433343965,0.734539798462226
