base_method,codec,reference_gap,keep_fraction,side_bits,task_count,mean_side_info_mib_per_intermediate_frame,mean_base_psnr,mean_sideinfo_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,q12,4,0.0,8,3,0.0,19.98979652819421,19.98979652819421,0.0,0
linear,q12,4,0.1,8,3,0.05272865295410156,19.98979652819421,23.33158010173987,3.34178357354566,3
linear,q12,4,0.25,8,3,0.1318359375,19.98979652819421,26.069005467315307,6.079208939121096,3
linear,q12,8,0.0,8,5,0.0,18.12111775349949,18.12111775349949,0.0,0
linear,q12,8,0.1,8,5,0.05272865295410156,18.12111775349949,20.950573554039106,2.829455800539616,5
linear,q12,8,0.25,8,5,0.1318359375,18.12111775349949,23.483711397134115,5.362593643634623,5
linear,q12,16,0.0,8,4,0.0,19.1130149705525,19.1130149705525,0.0,0
linear,q12,16,0.1,8,4,0.05272865295410156,19.1130149705525,23.595267018494223,4.482252047941727,4
linear,q12,16,0.25,8,4,0.1318359375,19.1130149705525,25.96208039382223,6.849065423269733,4
stage65_adapter,q12,4,0.0,8,3,0.0,20.48273820637705,20.48273820637705,0.0,0
stage65_adapter,q12,4,0.1,8,3,0.05272865295410156,20.48273820637705,23.358604628458625,2.8758664220815766,3
stage65_adapter,q12,4,0.25,8,3,0.1318359375,20.48273820637705,25.309636522189123,4.826898315812073,3
stage65_adapter,q12,8,0.0,8,5,0.0,18.532358493984642,18.532358493984642,0.0,0
stage65_adapter,q12,8,0.1,8,5,0.05272865295410156,18.532358493984642,20.94448603869522,2.4121275447105757,5
stage65_adapter,q12,8,0.25,8,5,0.1318359375,18.532358493984642,22.86393891447445,4.331580420489802,5
stage65_adapter,q12,16,0.0,8,4,0.0,19.075010088585586,19.075010088585586,0.0,0
stage65_adapter,q12,16,0.1,8,4,0.05272865295410156,19.075010088585586,22.489026450044353,3.414016361458769,4
stage65_adapter,q12,16,0.25,8,4,0.1318359375,19.075010088585586,24.495310755607044,5.420300667021456,4
