task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,keep_gaussians,side_bits,metadata_bits_per_attr_value,side_info_mib_per_intermediate_frame,base_psnr,sideinfo_psnr,delta_psnr_vs_base
stage79_00021399,bike-packing,q12,16,9,linear,0.1,3686,6,16,0.041353702545166016,18.747158126257794,23.691962447828455,4.944804321570661
stage79_00021399,bike-packing,q12,16,9,linear,0.1,3686,8,16,0.05277824401855469,18.747158126257794,23.696738306674096,4.9495801804163015
stage79_00021399,bike-packing,q12,16,9,linear,0.25,9216,6,16,0.10332107543945312,18.747158126257794,25.848821163907,7.101663037649207
stage79_00021399,bike-packing,q12,16,9,linear,0.25,9216,8,16,0.13188552856445312,18.747158126257794,25.863631782989124,7.11647365673133
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.1,3686,6,16,0.041353702545166016,18.71832432848013,22.35727634141972,3.6389520129395905
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.1,3686,8,16,0.05277824401855469,18.71832432848013,22.362619722080233,3.6442953936001032
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.25,9216,6,16,0.10332107543945312,18.71832432848013,23.694529878567508,4.9762055500873785
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.25,9216,8,16,0.13188552856445312,18.71832432848013,23.706187592481967,4.987863264001838
stage79_00028818,motocross-jump,q12,4,31,linear,0.1,3686,6,16,0.041353702545166016,18.25988997574939,23.011353012239546,4.751463036490154
stage79_00028818,motocross-jump,q12,4,31,linear,0.1,3686,8,16,0.05277824401855469,18.25988997574939,23.01309663857307,4.753206662823679
stage79_00028818,motocross-jump,q12,4,31,linear,0.25,9216,6,16,0.10332107543945312,18.25988997574939,26.483406582128307,8.223516606378915
stage79_00028818,motocross-jump,q12,4,31,linear,0.25,9216,8,16,0.13188552856445312,18.25988997574939,26.544624843236516,8.284734867487124
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.1,3686,6,16,0.041353702545166016,18.284350936750318,22.785849316192884,4.501498379442566
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.1,3686,8,16,0.05277824401855469,18.284350936750318,22.798588846411334,4.514237909661016
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.25,9216,6,16,0.10332107543945312,18.284350936750318,25.500324890855307,7.215973954104989
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.25,9216,8,16,0.13188552856445312,18.284350936750318,25.519560555781958,7.2352096190316395
stage79_00027028,india,q12,8,13,linear,0.1,3686,6,16,0.041353702545166016,19.06758882783345,23.614186953051686,4.546598125218235
stage79_00027028,india,q12,8,13,linear,0.1,3686,8,16,0.05277824401855469,19.06758882783345,23.615910801395927,4.5483219735624765
stage79_00027028,india,q12,8,13,linear,0.25,9216,6,16,0.10332107543945312,19.06758882783345,27.74076599116047,8.673177163327018
stage79_00027028,india,q12,8,13,linear,0.25,9216,8,16,0.13188552856445312,19.06758882783345,27.752455043964268,8.684866216130818
stage79_00027028,india,q12,8,13,stage65_adapter,0.1,3686,6,16,0.041353702545166016,19.790705687000365,23.826977463595533,4.036271776595168
stage79_00027028,india,q12,8,13,stage65_adapter,0.1,3686,8,16,0.05277824401855469,19.790705687000365,23.827091691908002,4.036386004907637
stage79_00027028,india,q12,8,13,stage65_adapter,0.25,9216,6,16,0.10332107543945312,19.790705687000365,26.783660531824935,6.99295484482457
stage79_00027028,india,q12,8,13,stage65_adapter,0.25,9216,8,16,0.13188552856445312,19.790705687000365,26.789958238307946,6.999252551307581
stage79_00021366,bike-packing,q12,8,39,linear,0.1,3686,6,16,0.041353702545166016,18.24650828541061,21.511732587054162,3.2652243016435527
stage79_00021366,bike-packing,q12,8,39,linear,0.1,3686,8,16,0.05277824401855469,18.24650828541061,21.512750700170642,3.2662424147600326
stage79_00021366,bike-packing,q12,8,39,linear,0.25,9216,6,16,0.10332107543945312,18.24650828541061,23.59419842427819,5.347690138867581
stage79_00021366,bike-packing,q12,8,39,linear,0.25,9216,8,16,0.13188552856445312,18.24650828541061,23.606366175751866,5.359857890341257
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.1,3686,6,16,0.041353702545166016,19.59357702158396,21.711362005471663,2.1177849838877023
