base_method,codec,reference_gap,keep_fraction,side_bits,task_count,mean_side_info_mib_per_intermediate_frame,mean_base_psnr,mean_sideinfo_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,q12,4,0.1,6,3,0.041353702545166016,19.98979652819421,23.326992309396783,3.3371957812025705,3
linear,q12,4,0.1,8,3,0.05277824401855469,19.98979652819421,23.331521602140384,3.3417250739461744,3
linear,q12,4,0.25,6,3,0.10332107543945312,19.98979652819421,26.03558253605736,6.045786007863147,3
linear,q12,4,0.25,8,3,0.13188552856445312,19.98979652819421,26.067254183952556,6.077457655758349,3
linear,q12,8,0.1,6,5,0.041353702545166016,18.12111775349949,20.94547122800524,2.8243534745057453,5
linear,q12,8,0.1,8,5,0.05277824401855469,18.12111775349949,20.951419444495667,2.830301690996175,5
linear,q12,8,0.25,6,5,0.10332107543945312,18.12111775349949,23.471186559061493,5.350068805562002,5
linear,q12,8,0.25,8,5,0.13188552856445312,18.12111775349949,23.48347660597915,5.362358852479657,5
linear,q12,16,0.1,6,4,0.041353702545166016,19.1130149705525,23.589870525188754,4.476855554636258,4
linear,q12,16,0.1,8,4,0.05277824401855469,19.1130149705525,23.595823887437923,4.482808916885427,4
linear,q12,16,0.25,6,4,0.10332107543945312,19.1130149705525,25.948424374180128,6.8354094036276285,4
linear,q12,16,0.25,8,4,0.13188552856445312,19.1130149705525,25.95928364840417,6.846268677851672,4
stage65_adapter,q12,4,0.1,6,3,0.041353702545166016,20.48273820637705,23.35258386164915,2.869845655272099,3
stage65_adapter,q12,4,0.1,8,3,0.05277824401855469,20.48273820637705,23.3592585549238,2.8765203485467516,3
stage65_adapter,q12,4,0.25,6,3,0.10332107543945312,20.48273820637705,25.295131804063356,4.8123935976863,3
stage65_adapter,q12,4,0.25,8,3,0.13188552856445312,20.48273820637705,25.30930692470965,4.826568718332599,3
stage65_adapter,q12,8,0.1,6,5,0.041353702545166016,18.532358493984642,20.943546028225864,2.411187534241218,5
stage65_adapter,q12,8,0.1,8,5,0.05277824401855469,18.532358493984642,20.94423484029644,2.4118763463117925,5
stage65_adapter,q12,8,0.25,6,5,0.10332107543945312,18.532358493984642,22.856351348718874,4.323992854734231,5
stage65_adapter,q12,8,0.25,8,5,0.13188552856445312,18.532358493984642,22.863306601164446,4.3309481071797995,5
stage65_adapter,q12,16,0.1,6,4,0.041353702545166016,19.075010088585586,22.481910804608162,3.406900716022574,4
stage65_adapter,q12,16,0.1,8,4,0.05277824401855469,19.075010088585586,22.487897469403208,3.412887380817623,4
stage65_adapter,q12,16,0.25,6,4,0.10332107543945312,19.075010088585586,24.477412446587934,5.40240235800235,4
stage65_adapter,q12,16,0.25,8,4,0.13188552856445312,19.075010088585586,24.495531332837523,5.420521244251937,4
