point_type,base_method,codec,reference_gap,keep_fraction,side_bits,rate_mode,rate_mib_per_frame,psnr,delta_psnr_vs_base,task_count
base,linear,q12,4,0.0,0,amortized,0.18193822076791313,19.98979652819421,0.0,3
sideinfo,linear,q12,4,0.1,6,amortized,0.21295349767678765,23.326992309396783,3.3371957812025705,3
sideinfo,linear,q12,4,0.1,8,amortized,0.22152190378182915,23.331521602140384,3.3417250739461744,3
sideinfo,linear,q12,4,0.25,6,amortized,0.25942902734750295,26.03558253605736,6.045786007863147,3
sideinfo,linear,q12,4,0.25,8,amortized,0.28085236719125295,26.067254183952556,6.077457655758349,3
base,linear,q12,8,0.0,0,amortized,0.09762538675351436,18.12111775349949,0.0,5
sideinfo,linear,q12,8,0.1,6,amortized,0.1338098764805346,20.94547122800524,2.8243534745057453,5
sideinfo,linear,q12,8,0.1,8,amortized,0.1438063502697497,20.951419444495667,2.830301690996175,5
sideinfo,linear,q12,8,0.25,6,amortized,0.18803132776303583,23.471186559061493,5.350068805562002,5
sideinfo,linear,q12,8,0.25,8,amortized,0.21302522424741083,23.48347660597915,5.362358852479657,5
base,linear,q12,16,0.0,0,amortized,0.055468969746314975,19.1130149705525,0.0,4
sideinfo,linear,q12,16,0.1,6,amortized,0.09423806588240811,23.589870525188754,4.476855554636258,4
sideinfo,linear,q12,16,0.1,8,amortized,0.10494857351371,23.595823887437923,4.482808916885427,4
sideinfo,linear,q12,16,0.25,6,amortized,0.1523324779708023,25.948424374180128,6.8354094036276285,4
sideinfo,linear,q12,16,0.25,8,amortized,0.1791116527754898,25.95928364840417,6.846268677851672,4
base,stage65_adapter,q12,4,0.0,0,amortized,0.18193822076791313,20.48273820637705,0.0,3
sideinfo,stage65_adapter,q12,4,0.1,6,amortized,0.21295349767678765,23.35258386164915,2.869845655272099,3
sideinfo,stage65_adapter,q12,4,0.1,8,amortized,0.22152190378182915,23.3592585549238,2.8765203485467516,3
sideinfo,stage65_adapter,q12,4,0.25,6,amortized,0.25942902734750295,25.295131804063356,4.8123935976863,3
sideinfo,stage65_adapter,q12,4,0.25,8,amortized,0.28085236719125295,25.30930692470965,4.826568718332599,3
base,stage65_adapter,q12,8,0.0,0,amortized,0.09762538675351436,18.532358493984642,0.0,5
sideinfo,stage65_adapter,q12,8,0.1,6,amortized,0.1338098764805346,20.943546028225864,2.411187534241218,5
sideinfo,stage65_adapter,q12,8,0.1,8,amortized,0.1438063502697497,20.94423484029644,2.4118763463117925,5
sideinfo,stage65_adapter,q12,8,0.25,6,amortized,0.18803132776303583,22.856351348718874,4.323992854734231,5
sideinfo,stage65_adapter,q12,8,0.25,8,amortized,0.21302522424741083,22.863306601164446,4.3309481071797995,5
base,stage65_adapter,q12,16,0.0,0,amortized,0.055468969746314975,19.075010088585586,0.0,4
sideinfo,stage65_adapter,q12,16,0.1,6,amortized,0.09423806588240811,22.481910804608162,3.406900716022574,4
sideinfo,stage65_adapter,q12,16,0.1,8,amortized,0.10494857351371,22.487897469403208,3.412887380817623,4
sideinfo,stage65_adapter,q12,16,0.25,6,amortized,0.1523324779708023,24.477412446587934,5.40240235800235,4
sideinfo,stage65_adapter,q12,16,0.25,8,amortized,0.1791116527754898,24.495531332837523,5.420521244251937,4
