point_type,base_method,codec,reference_gap,keep_fraction,side_bits,rate_mode,rate_mib_per_frame,psnr,delta_psnr_vs_base,task_count
base,linear,q12,4,0.0,0,amortized,0.18193822076791313,19.984796422852106,0.0,18
sideinfo,linear,q12,4,0.1,6,amortized,0.21295349767678765,23.403666365261454,3.4188699424093465,18
base,linear,q12,8,0.0,0,amortized,0.09762538675351436,18.457589807006293,0.0,19
sideinfo,linear,q12,8,0.1,6,amortized,0.1338098764805346,21.513744759131683,3.056154952125395,19
base,linear,q12,16,0.0,0,amortized,0.055468969746314975,17.08421543617396,0.0,23
sideinfo,linear,q12,16,0.1,6,amortized,0.09423806588240811,20.344221350298344,3.2600059141243887,23
base,stage65_adapter,q12,4,0.0,0,amortized,0.18193822076791313,20.041732308843873,0.0,18
sideinfo,stage65_adapter,q12,4,0.1,6,amortized,0.21295349767678765,22.84099865483423,2.7992663459903557,18
base,stage65_adapter,q12,8,0.0,0,amortized,0.09762538675351436,18.706547218120296,0.0,19
sideinfo,stage65_adapter,q12,8,0.1,6,amortized,0.1338098764805346,21.398942062762643,2.6923948446423474,19
base,stage65_adapter,q12,16,0.0,0,amortized,0.055468969746314975,17.32823013943833,0.0,23
sideinfo,stage65_adapter,q12,16,0.1,6,amortized,0.09423806588240811,20.29200458015274,2.9637744407144093,23
base,linear,q12,4,0.0,0,direct,0.18193822076791313,19.984796422852106,0.0,18
sideinfo,linear,q12,4,0.1,6,direct,0.22329192331307915,23.403666365261454,3.4188699424093465,18
base,linear,q12,8,0.0,0,direct,0.09762538675351436,18.457589807006293,0.0,19
sideinfo,linear,q12,8,0.1,6,direct,0.13897908929868036,21.513744759131683,3.056154952125395,19
base,linear,q12,16,0.0,0,direct,0.055468969746314975,17.08421543617396,0.0,23
sideinfo,linear,q12,16,0.1,6,direct,0.09682267229148099,20.344221350298344,3.2600059141243887,23
base,stage65_adapter,q12,4,0.0,0,direct,0.18193822076791313,20.041732308843873,0.0,18
sideinfo,stage65_adapter,q12,4,0.1,6,direct,0.22329192331307915,22.84099865483423,2.7992663459903557,18
base,stage65_adapter,q12,8,0.0,0,direct,0.09762538675351436,18.706547218120296,0.0,19
sideinfo,stage65_adapter,q12,8,0.1,6,direct,0.13897908929868036,21.398942062762643,2.6923948446423474,19
base,stage65_adapter,q12,16,0.0,0,direct,0.055468969746314975,17.32823013943833,0.0,23
sideinfo,stage65_adapter,q12,16,0.1,6,direct,0.09682267229148099,20.29200458015274,2.9637744407144093,23
