task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,payload_bytes,payload_mib_per_intermediate_frame,theoretical_bytes_without_header,header_bytes,metadata_bytes,index_bytes,residual_bytes,payload_entropy_bits_per_byte,residual_entropy_bits_per_byte,zlib_whole_bytes,component_zlib_bytes,residual_zlib_bytes,delta_index_zlib_bytes,best_candidate,best_bytes,best_mib_per_intermediate_frame,best_ratio_vs_raw,best_savings_bytes_vs_raw
stage79_00021399,bike-packing,q12,16,9,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.912397655795153,6.613251423219617,35138,34897,35298,30304,delta_index_zlib,30304,0.028900146484375,0.6985546667896083,13077
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.679069814042662,7.5946458035245294,40326,39991,40369,35495,delta_index_zlib,35495,0.033850669860839844,0.8182153477328784,7886
stage79_00028818,motocross-jump,q12,4,31,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.8628119996937995,6.519739511175295,33239,32929,33284,27313,delta_index_zlib,27313,0.026047706604003906,0.6296074318249925,16068
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.664367497623966,7.551171265991082,38904,38533,38862,33266,delta_index_zlib,33266,0.03172492980957031,0.7668334063299601,10115
stage79_00027028,india,q12,8,13,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.904689647927055,6.563427947854116,34952,34740,34949,30208,delta_index_zlib,30208,0.02880859375,0.6963417164196307,13173
stage79_00027028,india,q12,8,13,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.694908062248078,7.577272988868529,40476,40203,40380,35772,delta_index_zlib,35772,0.034114837646484375,0.8246006316129181,7609
stage79_00021366,bike-packing,q12,8,39,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.947014124624197,6.639830830113523,35339,35104,35245,30826,delta_index_zlib,30826,0.029397964477539062,0.7105875844263617,12555
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.733587135155371,7.644645806583462,40872,40616,40764,36380,delta_index_zlib,36380,0.034694671630859375,0.8386159839561098,7001
stage79_00024828,dog,q12,16,57,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.83827043850264,6.498638779115985,33267,33079,33244,28758,delta_index_zlib,28758,0.027425765991210938,0.6629169452064267,14623
stage79_00024828,dog,q12,16,57,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.715590275877055,7.631535170841652,40199,39970,40134,35728,delta_index_zlib,35728,0.0340728759765625,0.8235863626933451,7653
stage79_00021953,bmx-trees,q12,4,69,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.983396955082071,6.711224031981769,36446,36132,36455,31918,delta_index_zlib,31918,0.030439376831054688,0.7357598948848574,11463
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.742325310614764,7.687055985541605,41173,40878,41198,36686,delta_index_zlib,36686,0.03498649597167969,0.8456697632604135,6695
