task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,entropy_payload_bytes,fixed_mib_per_intermediate_frame,entropy_mib_per_intermediate_frame,entropy_ratio_vs_fixed,entropy_savings_bytes_vs_fixed,entropy_header_bytes,metadata_zlib_bytes,delta_zlib_bytes,residual_zlib_bytes,decoded_max_abs_diff_vs_fixed,base_psnr,entropy_psnr,delta_psnr_vs_base
stage79_00021399,bike-packing,q12,16,9,linear,0.1,6,3686,43381,30457,0.04137134552001953,0.029046058654785156,0.7020815564417602,12924,30,50,2380,27997,0.0,18.747158126257794,23.691880110680053,4.944721984422259
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.1,6,3686,43381,35546,0.04137134552001953,0.03389930725097656,0.819390977616929,7835,30,61,2489,32966,0.0,18.71832432848013,22.357326802042373,3.6390024735622433
stage79_00028818,motocross-jump,q12,4,31,linear,0.1,6,3686,43381,27558,0.04137134552001953,0.026281356811523438,0.6352550655817063,15823,30,50,1403,26075,0.0,18.25988997574939,23.011022089581232,4.75113211383184
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.1,6,3686,43381,32796,0.04137134552001953,0.031276702880859375,0.7559991701436113,10585,30,61,1767,30938,0.0,18.284350936750318,22.786549578997217,4.502198642246899
stage79_00027028,india,q12,8,13,linear,0.1,6,3686,43381,30427,0.04137134552001953,0.02901744842529297,0.7013900094511422,12954,30,50,2633,27714,0.0,19.06758882783345,23.613794208460614,4.546205380627164
stage79_00027028,india,q12,8,13,stage65_adapter,0.1,6,3686,43381,35821,0.04137134552001953,0.03416156768798828,0.8257301583642609,7560,30,61,2755,32975,0.0,19.790705687000365,23.82693890001456,4.036233213014196
stage79_00021366,bike-packing,q12,8,39,linear,0.1,6,3686,43381,31141,0.04137134552001953,0.02969837188720703,0.7178488278278509,12240,30,50,2955,28106,0.0,18.24650828541061,21.51180333733941,3.265295051928799
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.1,6,3686,43381,36505,0.04137134552001953,0.034813880920410156,0.8414974297503516,6876,30,63,2977,33435,0.0,19.59357702158396,21.711834089142084,2.1182570675581225
stage79_00024828,dog,q12,16,57,linear,0.1,6,3686,43381,28984,0.04137134552001953,0.02764129638671875,0.6681265992024158,14397,30,50,2888,26016,0.0,17.942222663262687,20.85561395661339,2.9133912933507027
stage79_00024828,dog,q12,16,57,stage65_adapter,0.1,6,3686,43381,35726,0.04137134552001953,0.03407096862792969,0.8235402595606371,7655,30,63,2955,32678,0.0,18.453393577997925,21.174193870228798,2.720800292230873
