point_type,base_method,codec,reference_gap,rate_mode,rate_mib_per_frame,psnr,delta_psnr_vs_base,task_count
fixed_sideinfo,linear,q12,4,direct,0.22330956628793266,23.327021755289916,3.3372252270957077,3
entropy_sideinfo,linear,q12,4,direct,0.21032306522998995,23.327021755289916,3.3372252270957077,3
fixed_sideinfo,linear,q12,4,amortized,0.21296672990792778,23.327021755289916,3.3372252270957077,3
entropy_sideinfo,linear,q12,4,amortized,0.20322685411447075,23.327021755289916,3.3372252270957077,3
fixed_sideinfo,linear,q12,8,direct,0.13899673227353387,20.94541228168298,2.8242945281834873,5
entropy_sideinfo,linear,q12,8,direct,0.12701324228329952,20.94541228168298,2.8242945281834873,5
fixed_sideinfo,linear,q12,8,amortized,0.13382531408353143,20.94541228168298,2.8242945281834873,5
entropy_sideinfo,linear,q12,8,amortized,0.12333976034207637,20.94541228168298,2.8242945281834873,5
fixed_sideinfo,linear,q12,16,direct,0.0968403152663345,23.589545045225233,4.476530074672733,4
entropy_sideinfo,linear,q12,16,direct,0.08365910570212552,23.589545045225233,4.476530074672733,4
fixed_sideinfo,linear,q12,16,amortized,0.09425460617133329,23.589545045225233,4.476530074672733,4
entropy_sideinfo,linear,q12,16,amortized,0.08189722220488736,23.589545045225233,4.476530074672733,4
fixed_sideinfo,stage65_adapter,q12,4,direct,0.22330956628793266,23.352831018389125,2.870092812012075,3
entropy_sideinfo,stage65_adapter,q12,4,direct,0.21534161737435845,23.352831018389125,2.870092812012075,3
fixed_sideinfo,stage65_adapter,q12,4,amortized,0.21296672990792778,23.352831018389125,2.870092812012075,3
entropy_sideinfo,stage65_adapter,q12,4,amortized,0.20699076822274712,23.352831018389125,2.870092812012075,3
fixed_sideinfo,stage65_adapter,q12,8,direct,0.13899673227353387,20.943699759081163,2.41134126509652,5
entropy_sideinfo,stage65_adapter,q12,8,direct,0.13206237558408077,20.943699759081163,2.41134126509652,5
fixed_sideinfo,stage65_adapter,q12,8,amortized,0.13382531408353143,20.943699759081163,2.41134126509652,5
entropy_sideinfo,stage65_adapter,q12,8,amortized,0.12775775198025996,20.943699759081163,2.41134126509652,5
fixed_sideinfo,stage65_adapter,q12,16,direct,0.0968403152663345,22.48232041707169,3.407310328486104,4
entropy_sideinfo,stage65_adapter,q12,16,direct,0.08876197855063626,22.48232041707169,3.407310328486104,4
fixed_sideinfo,stage65_adapter,q12,16,amortized,0.09425460617133329,22.48232041707169,3.407310328486104,4
entropy_sideinfo,stage65_adapter,q12,16,amortized,0.08668116550036618,22.48232041707169,3.407310328486104,4
