point_type,base_method,codec,reference_gap,rate_mode,rate_mib_per_frame,psnr,delta_psnr_vs_base,task_count
fixed_sideinfo,linear,q12,4,direct,0.22330956628793266,23.403532118481326,3.4187356956292225,18
entropy_sideinfo,linear,q12,4,direct,0.21042431365324843,23.403532118481326,3.4187356956292225,18
fixed_sideinfo,linear,q12,4,amortized,0.21296672990792778,23.403532118481326,3.4187356956292225,18
entropy_sideinfo,linear,q12,4,amortized,0.2033027904319146,23.403532118481326,3.4187356956292225,18
fixed_sideinfo,linear,q12,8,direct,0.13899673227353387,21.51362735577916,3.05603754877287,19
entropy_sideinfo,linear,q12,8,direct,0.12665608623246688,21.51362735577916,3.05603754877287,19
fixed_sideinfo,linear,q12,8,amortized,0.13382531408353143,21.51362735577916,3.05603754877287,19
entropy_sideinfo,linear,q12,8,amortized,0.1230272487975978,21.51362735577916,3.05603754877287,19
fixed_sideinfo,linear,q12,16,direct,0.0968403152663345,20.344147709407626,3.2599322732336695,23
entropy_sideinfo,linear,q12,16,direct,0.08430766643343285,20.344147709407626,3.2599322732336695,23
fixed_sideinfo,linear,q12,16,amortized,0.09425460617133329,20.344147709407626,3.2599322732336695,23
entropy_sideinfo,linear,q12,16,amortized,0.08250524789048798,20.344147709407626,3.2599322732336695,23
fixed_sideinfo,stage65_adapter,q12,4,direct,0.22330956628793266,22.841151135422116,2.7994188265782376,18
entropy_sideinfo,stage65_adapter,q12,4,direct,0.21508592669374865,22.841151135422116,2.7994188265782376,18
fixed_sideinfo,stage65_adapter,q12,4,amortized,0.21296672990792778,22.841151135422116,2.7994188265782376,18
entropy_sideinfo,stage65_adapter,q12,4,amortized,0.20679900021228975,22.841151135422116,2.7994188265782376,18
fixed_sideinfo,stage65_adapter,q12,8,direct,0.13899673227353387,21.39901144086742,2.692464222747122,19
entropy_sideinfo,stage65_adapter,q12,8,direct,0.13149337333220473,21.39901144086742,2.692464222747122,19
fixed_sideinfo,stage65_adapter,q12,8,amortized,0.13382531408353143,21.39901144086742,2.692464222747122,19
entropy_sideinfo,stage65_adapter,q12,8,amortized,0.12725987500986843,21.39901144086742,2.692464222747122,19
fixed_sideinfo,stage65_adapter,q12,16,direct,0.0968403152663345,20.292022340267458,2.9637922008291264,23
entropy_sideinfo,stage65_adapter,q12,16,direct,0.08923517723400179,20.292022340267458,2.9637922008291264,23
fixed_sideinfo,stage65_adapter,q12,16,amortized,0.09425460617133329,20.292022340267458,2.9637922008291264,23
entropy_sideinfo,stage65_adapter,q12,16,amortized,0.08712478926602138,20.292022340267458,2.9637922008291264,23
