stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle,random_expected_precision
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,mlp_importance,0.1,3686,0.24389582872390747,0.21002279222011566,0.5325462818145752,0.3943747282028198,0.1
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,endpoint_diff_baseline,0.1,3686,0.2655995786190033,0.19786673784255981,0.5325462818145752,0.37154844403266907,0.1
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,mlp_importance,0.1,3686,0.36082473397254944,0.15060533583164215,0.2316221296787262,0.6502199769020081,0.1
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.26424309611320496,0.1264503449201584,0.2316221296787262,0.5459337830543518,0.1
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,mlp_importance,0.1,3686,0.3792729377746582,0.5330095291137695,0.961725652217865,0.5542219877243042,0.1
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,endpoint_diff_baseline,0.1,3686,0.5181769132614136,0.6011047959327698,0.961725652217865,0.6250272989273071,0.1
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,mlp_importance,0.1,3686,0.2740097641944885,0.12134820222854614,0.15973824262619019,0.7596690654754639,0.1
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.3030385375022888,0.12428373843431473,0.15973824262619019,0.7780462503433228,0.1
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,mlp_importance,0.1,3686,0.3345089554786682,0.32048311829566956,0.7609845399856567,0.4211427569389343,0.1
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,endpoint_diff_baseline,0.1,3686,0.24199675023555756,0.24203234910964966,0.7609845399856567,0.31805160641670227,0.1
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,mlp_importance,0.1,3686,0.43000543117523193,0.18864551186561584,0.297005832195282,0.635157585144043,0.1
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.13455955684185028,0.297005832195282,0.4530535936355591,0.1
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,mlp_importance,0.1,3686,0.20618556439876556,0.19001685082912445,0.5060114860534668,0.3755188584327698,0.1
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,endpoint_diff_baseline,0.1,3686,0.1918068379163742,0.15955351293087006,0.5060114860534668,0.31531599164009094,0.1
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,mlp_importance,0.1,3686,0.34020617604255676,0.13245630264282227,0.19262994825839996,0.6876205205917358,0.1
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.17091698944568634,0.1086612194776535,0.19262994825839996,0.5640930533409119,0.1
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,mlp_importance,0.1,3686,0.38279977440834045,0.35846200585365295,0.650629997253418,0.5509459972381592,0.1
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,endpoint_diff_baseline,0.1,3686,0.34074878692626953,0.3137834072113037,0.650629997253418,0.4822762608528137,0.1
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,mlp_importance,0.1,3686,0.4750407040119171,0.13764704763889313,0.17487986385822296,0.7870948910713196,0.1
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.31172001361846924,0.12210234254598618,0.17487986385822296,0.6982069611549377,0.1
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,mlp_importance,0.1,3686,0.1760716289281845,0.17161957919597626,0.4715755879878998,0.36392804980278015,0.1
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,endpoint_diff_baseline,0.1,3686,0.08979924023151398,0.13540205359458923,0.4715755879878998,0.28712692856788635,0.1
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,mlp_importance,0.1,3686,0.27102550864219666,0.14938180148601532,0.26095694303512573,0.5724384784698486,0.1
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.11421595513820648,0.11177577078342438,0.26095694303512573,0.42833033204078674,0.1
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,mlp_importance,0.1,3686,0.3798155188560486,0.3826276361942291,0.7059814929962158,0.5419796705245972,0.1
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,endpoint_diff_baseline,0.1,3686,0.3643516004085541,0.3261403739452362,0.7059814929962158,0.4619673192501068,0.1
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,mlp_importance,0.1,3686,0.4666304886341095,0.18612906336784363,0.25488442182540894,0.7302488684654236,0.1
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.3659793734550476,0.1574932187795639,0.25488442182540894,0.617900550365448,0.1
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,mlp_importance,0.1,3686,0.2609875202178955,0.20544876158237457,0.4578790068626404,0.4486966133117676,0.1
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,endpoint_diff_baseline,0.1,3686,0.2189365178346634,0.17352792620658875,0.4578790068626404,0.3789820671081543,0.1
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,mlp_importance,0.1,3686,0.4020618498325348,0.1557316929101944,0.22188284993171692,0.70186448097229,0.1
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.1268695443868637,0.22188284993171692,0.5717861652374268,0.1
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,mlp_importance,0.1,3686,0.49240368604660034,0.5288642048835754,0.794373631477356,0.6657625436782837,0.1
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,endpoint_diff_baseline,0.1,3686,0.5409657955169678,0.4691872298717499,0.794373631477356,0.5906379818916321,0.1
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,mlp_importance,0.1,3686,0.43895822763442993,0.133377343416214,0.16845475137233734,0.7917695641517639,0.1
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.3657080829143524,0.1244654580950737,0.16845475137233734,0.7388657927513123,0.1
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,mlp_importance,0.1,3686,0.23765599727630615,0.20648860931396484,0.6438446044921875,0.3207118809223175,0.1
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,endpoint_diff_baseline,0.1,3686,0.15762344002723694,0.15618087351322174,0.6438446044921875,0.24257542192935944,0.1
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,mlp_importance,0.1,3686,0.3079218566417694,0.16943863034248352,0.32906678318977356,0.5149065256118774,0.1
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.1519262045621872,0.12079444527626038,0.32906678318977356,0.3670818507671356,0.1
