step,train_loss
1,6.465598744398449e-06
2,4.611866643244866e-06
3,3.0451014936261345e-06
4,2.029534243774833e-06
5,1.2184050319774542e-06
6,7.265667818501242e-07
7,6.655238280472986e-07
8,7.830923323126626e-07
9,1.0786952771013603e-06
10,1.0459368695592275e-06
11,9.371631222165888e-07
12,8.78536638992955e-07
13,7.746969572508533e-07
14,6.674417818430811e-07
15,6.400791789928917e-07
16,6.47019476218702e-07
17,5.410640824266011e-07
18,5.111056111672951e-07
19,5.275953185446269e-07
20,6.201989322107693e-07
21,6.397906986421731e-07
22,6.194326829245256e-07
23,6.484968935183133e-07
24,5.175745627639117e-07
25,6.25831034994917e-07
26,5.5536889931318e-07
27,5.874743465028587e-07
28,5.304481192069943e-07
29,4.5309261054171657e-07
30,5.530271778297902e-07
31,5.544756618292013e-07
32,4.766134793499077e-07
33,5.288226248012506e-07
34,4.38812975289693e-07
35,4.996653615307878e-07
36,5.565963761000603e-07
37,5.374403144742246e-07
38,4.5510066115639347e-07
39,5.018924298383354e-07
40,4.916821012557193e-07
41,4.817160288439482e-07
42,4.29618665975795e-07
43,4.3339707644918235e-07
44,4.825905079997028e-07
45,4.716656576420064e-07
46,4.783785811923735e-07
47,4.863307481173251e-07
48,4.759025387102156e-07
49,5.418215778263402e-07
50,5.03583294175769e-07
51,4.844413297178107e-07
52,5.241723215476668e-07
53,5.452775440062396e-07
54,4.772254555973632e-07
55,5.315762905411248e-07
56,5.226953589954064e-07
57,5.46654860045237e-07
58,4.818320462618431e-07
59,4.6840818868076894e-07
60,4.2214236373183667e-07
61,4.6294934463730897e-07
62,4.929508463646926e-07
63,4.863765639129269e-07
64,5.267755796012352e-07
65,4.7105314138207177e-07
66,5.398215989771415e-07
67,4.861046249970968e-07
68,4.729169518213894e-07
69,5.233197271081735e-07
70,5.487707994689117e-07
71,4.929431725031463e-07
72,4.827909947380249e-07
73,5.202876423027192e-07
74,5.464709715852223e-07
75,5.173815225134604e-07
76,4.879451012129721e-07
77,4.992865569874994e-07
78,4.801538011633966e-07
79,4.662354058382334e-07
80,4.793312768924807e-07
